agency,region,name,street,city,zip,latitude,longitude,level,state,address
Ministry of Forests British Columbia,Cariboo,Cariboo-Chilcotin Natural Resource District (DCC),200 - 640 Borland Street,"Williams Lake, B.C.",V2G 4T1,52.130553,-122.136894,state,British Columbia,"200 - 640 Borland Street, Williams Lake, B.C. V2G 4T1"
Ministry of Forests British Columbia,Cariboo,100 Mile House Natural Resource District (DMH),300 Cariboo Hwy 97,"100 Mile House, B.C.",V0K 2E0,51.644446,-121.298071,state,British Columbia,"300 Cariboo Hwy 97, 100 Mile House, B.C. V0K 2E0"
Ministry of Forests British Columbia,Cariboo,Quesnel Natural Resource District (DQU),322 Johnston Avenue,"Quesnel, B.C.",V2J 3M5,52.968781,-122.493047,state,British Columbia,"322 Johnston Avenue, Quesnel, B.C. V2J 3M5"
Ministry of Forests British Columbia,Kootenay / Boundary,Selkirk Natural Resource District (DSE),1907 Ridgewood Road,"Nelson, B.C.",V1L 6K1,49.550477,-117.257863,state,British Columbia,"1907 Ridgewood Road, Nelson, B.C. V1L 6K1"
Ministry of Forests British Columbia,Kootenay / Boundary,Rocky Mountain Natural Resource District (DRM),1902 Theatre Road,"Cranbrook, B.C.",V1C 7G1,49.531972,-115.75374,state,British Columbia,"1902 Theatre Road, Cranbrook, B.C. V1C 7G1"
Ministry of Forests British Columbia,Northeast,Fort Nelson Natural Resource District (DFN),"RR 1, Mile 301, Alaska Highway","Fort Nelson, B.C.",V0C 1R0,58.635472,-122.705462,state,British Columbia,"RR 1, Mile 301, Alaska Highway, Fort Nelson, B.C. V0C 1R0"
Ministry of Forests British Columbia,Northeast,Peace Natural Resource District (DPC),9000 17th Street,"Dawson Creek, B.C.",V1G 4A4,55.773061,-120.248813,state,British Columbia,"9000 17th Street, Dawson Creek, B.C. V1G 4A4"
Ministry of Forests British Columbia,Omineca,Mackenzie Natural Resource District (DMK),1 Cicada Road,"Mackenzie, B.C.",,55.322696,-123.092496,state,British Columbia,"1 Cicada Road, Mackenzie, B.C. "
Ministry of Forests British Columbia,Omineca,Prince George Natural Resource District (DPG),2000 South Ospika Boulevard,"Prince George, B.C.",V2N 4W5,53.904654,-122.797078,state,British Columbia,"2000 South Ospika Boulevard, Prince George, B.C. V2N 4W5"
Ministry of Forests British Columbia,Omineca,Stuart Nechako Natural Resource District (DSN) Vanderhoof,1560 Hwy 16 East,"Vanderhoof, B.C.",,54.005793,-123.993987,state,British Columbia,"1560 Hwy 16 East, Vanderhoof, B.C. "
Ministry of Forests British Columbia,Omineca,Stuart Nechako Natural Resource District (DSN) Fort St. James,2537 Stones Bay Rd,"Fort St. James, BC",V0J 1P0,54.456486,-124.286381,state,British Columbia,"2537 Stones Bay Rd, Fort St. James, BC V0J 1P0"
Ministry of Forests British Columbia,Thompson / Okanogan,Cascades Natural Resource District (DCS),3840 Airport Road,"Merritt, B.C.",,50.125823,-120.746784,state,British Columbia,"3840 Airport Road, Merritt, B.C. "
Ministry of Forests British Columbia,Thompson / Okanogan,Okanagan Shuswap Natural Resource District (DOS),2501 - 14th Avenue,"Vernon, B.C.",V1T 8Z1,50.252487,-119.264859,state,British Columbia,"2501 - 14th Avenue, Vernon, B.C. V1T 8Z1"
Ministry of Forests British Columbia,Thompson / Okanogan,Thompson Rivers Natural Resource District (DKA),1265 Dalhousie Drive,"Kamloops, B.C.",V2C 5Z5,50.666342,-120.363708,state,British Columbia,"1265 Dalhousie Drive, Kamloops, B.C. V2C 5Z5"
