X,Y,OBJECTID,NAME,STREET,CITY,ZIP_CODE,STATE,PHONE,FAX_PHONE,MAILING_STREET,MAILING_CITY,MAILING_ZIP_CODE,MAILING_STATE,PHYSICAL_MAIL_DIFFERENCE,REGION,FOREST_NAME,DISTRICT_NAME,COUNTRY,LATITUDE,LONGITUDE,CONTACT,EQUIPMENT_ONLY,SEASONAL,WIRELESS_SITE,LOCATION_ID,SYS_CREATED_ON,SHAPE
-79.427751,44.06993,347745,Lotek Wireless Inc.,115 Pony Dr,Newmarket,L3Y 7B5,ON,,,,,,,,,,,,44.06993,-79.427751,,FALSE,FALSE,FALSE,0044fb861b76fd906de587fce54bcbcc,2023/11/30 19:04:12+00,
-116.939063,32.561352,347746,Sanyo North America Corporation Headquarters,2055 Sanyo Ave,San Diego,92154,CA,,,,,,,,,,,,32.561352,-116.939063,,FALSE,FALSE,FALSE,0054ff861b76fd906de587fce54bcbf7,2023/11/30 19:04:28+00,
-109.275117,34.1316,347747,Apache-Sitgreaves National Forest and Springerville Ranger District,30 S Chiricahua Dr,Springerville,85938,AZ,928-333-4301,928-333-5966,,,,,,Region 3,Apache-Sitgreaves National Forest,,USA,34.1316,-109.275117,,FALSE,FALSE,TRUE,44B3B1443524AB49B16B2EB6FEC895BE,2015/06/18 14:58:31+00,
-88.626604,44.856843,347748,College of Menominee Nation,N 172 State Hwy 47/55,Keshena,54135,WI,,,,,,,,Region 9,,,USA,44.856843,-88.626604,,FALSE,FALSE,FALSE,4980F4781F3F9949A8E752AAB7BEDCA7,2018/12/10 14:46:04+00,
-121.907819,43.474006,347749,Crescent Ranger District,136471 Hwy 97 N,Crescent,97733,OR,541-433-3200,541-433-3224,,,,,,Region 6,Deschutes National Forest,Crescent Ranger District,USA,43.474006,-121.907819,,FALSE,FALSE,TRUE,1FED4FFE8961654185EBF24BB198602D,2016/11/01 14:57:02+00,
-77.185115,39.106481,347750,FedStore Corporation Headquarters,"1 Research Ct, Ste 450",Rockville,20850-6252,MD,,,,,,,,,,,,39.106481,-77.185115,,FALSE,FALSE,FALSE,01443f861b76fd906de587fce54bcbec,2023/11/30 19:04:15+00,
-80.331834,26.133263,347751,General Dynamics Itronix Headquarters,"1000 Sawgrass Corporate Parkway, Ste 300",Sunrise,33323,FL,,,,,,,,,,,,26.133263,-80.331834,,FALSE,FALSE,FALSE,01443f861b76fd906de587fce54bcbf4,2023/11/30 19:04:16+00,
-88.436328,41.098114,347752,Dwight Baptist Academy,401 N Clinton St,Dwight,60420-1001,IL,,,,,,,,,,,,41.098114,-88.436328,,FALSE,FALSE,FALSE,015433c61b76fd906de587fce54bcbdc,2023/11/30 19:04:32+00,
-117.719285,33.634503,347753,Govplace Headquarters,"15707 Rockfield Blvd, Ste #305",Irvine,92618,CA,,,,,,,,,,,,33.634503,-117.719285,,FALSE,FALSE,FALSE,015473c61b76fd906de587fce54bcb26,2023/11/30 19:04:32+00,
-85.017633,30.288531,347754,Apalachicola Work Center,23288 NW County Road 12,Bristol,32321,FL,,,,,,,,Region 8,National Forests In Florida,Apalachicola Ranger District,USA,30.288531,-85.017633,,FALSE,FALSE,FALSE,AE484480BB0A1B4E94815AEFABCCFA41,2017/12/14 09:46:31+00,
