agency,state,name,address,city,latitude,longitude,level
Washington DNR,Washington,Olympic Region,411 Tillicum Lane,"Forks, WA 98331-9271",47.956084,-124.383966,state
Washington DNR,Washington,Pacific Cascade Region,601 Bond Road,"Castle Rock, WA 98611-0280",46.270145,-122.891794,state
Washington DNR,Washington,South Puget Sound Region,950 Farman Ave. N.,"Enumclaw, WA 98022-9282",47.202034,-121.965026,state
Washington DNR,Washington,Southeast Region,713 Bowers Road,"Ellensburg, WA 98926-9301",47.029051,-120.540297,state
Washington DNR,Washington,Northeast Region,225 S. Silke Road,"Colville, WA 99114-9369",48.544654,-117.888021,state
Washington DNR,Washington,Northeast Region,919 N. Township St.,"Sedro Woolley, WA 98284-9384",48.521822,-122.224981,state
Idaho Department of Lands,Idaho,Boise Office,"300 N. 6th Street, Suite 103","Boise, ID 83702",43.61604,-116.199162,state
Idaho Department of Lands,Idaho,Coeur d'Alene,3284 W. Industrial Loop,"Coeur d’Alene, ID 83815",47.723763,-116.83295,state
Idaho Department of Lands,Idaho,Priest Lake Supervisory Area,4053 Cavanaugh Bay Rd.,"Coolin, ID 83821",48.522542,-116.822815,state
Idaho Department of Lands,Idaho,Kootenai Valley Field Office,6327 Main St,"Bonners Ferry, ID 83805",48.673758,-116.335928,state
Idaho Department of Lands,Idaho,Cataldo Forest Protective District,80 Hilltop Overpass Rd.,"Kingston, ID 83839",47.549783,-116.29434,state
Idaho Department of Lands,Idaho,Ponderosa Supervisory Area,3130 Highway 3,"Deary, ID 83823",46.793449,-116.554605,state
Idaho Department of Lands,Idaho,Pend Oreille Lake Supervisory Area,2550 Highway 2 West,"Sandpoint, ID 83864-7305",48.262576,-116.577663,state
Idaho Department of Lands,Idaho,Mica Supervisory Area,3258 W. Industrial Loop,"Coeur d’Alene, ID 83815",47.723855,-116.831053,state
Idaho Department of Lands,Idaho,St. Joe Supervisory Area,1806 Main Ave.,"St. Maries, ID 83861",47.316614,-116.579325,state
Idaho Department of Lands,Idaho,Clearwater Supervisory Area,10230 Highway 12,"Orofino, ID 83544",46.488404,-116.269653,state
Idaho Department of Lands,Idaho,Craig Mountain,014 E. Lorahama,"Craigmont, ID 83523",46.239743,-116.471739,state
Idaho Department of Lands,Idaho,Southwest Supervisory Area,8355 W. State St.,"Boise, ID 83714",43.670074,-116.281934,state
Idaho Department of Lands,Idaho,Jerome Field Office,"324 S. 417 E., Suite 2","Jerome, ID 83338",42.677128,-114.439066,state
Idaho Department of Lands,Idaho,Maggie Creek Supervisory Area,913 Third St.,"Kamiah, ID 83536",46.229411,-116.032437,state
Idaho Department of Lands,Idaho,Eastern Supervisory Area,3563 Ririe Highway,"Idaho Falls, ID 83401",43.542458,-111.962946,state
Idaho Department of Lands,Idaho,Payette Lakes Supervisory Area,555 Deinhard Ln.,"McCall, ID 83638",44.897855,-116.08895,state
Bureau of Land Management,Oregon,Oregon/Washington State Office,1220 SW 3rd Avenue,"Portland, OR 97204",45.514468,-122.677047,federal
Bureau of Land Management,Oregon,Coos Bay District Office,1300 Airport Lane,"North Bend, OR 97459",43.415392,-124.2523,federal
Bureau of Land Management,Oregon,Medford District Office,3040 Biddle Road,"Medford, OR 97504",42.361784,-122.874852,federal
Bureau of Land Management,Oregon,Prineville District Office,3050 N.E. 3rd Street,"Prineville, OR 97754",44.302146,-120.810531,federal
Bureau of Land Management,Washington,Spokane District Office,1103 N. Fancher Road,"Spokane Valley, WA 99212",47.668019,-117.326132,federal
Bureau of Land Management,Oregon,Burns District Office,28910 Hwy 20 West,"Hines, OR 97738",43.522856,-119.095891,federal
Bureau of Land Management,Oregon,Lakeview District Office,1301 South G Street,"Lakeview, OR 97630",42.171132,-120.346059,federal
Bureau of Land Management,Oregon,Northwest Oregon District Office,"1717 Fabry Road, SE","Salem, OR 97306",44.874364,-123.023589,federal
Bureau of Land Management,Oregon,Roseburg District Office,777 N.W. Garden Valley Boulevard,"Roseburg, OR 97471",43.227646,-123.364155,federal
Bureau of Land Management,Oregon,Vale District Office,100 Oregon Street,"Vale, OR 97918",43.987745,-117.239509,federal
Bureau of Land Management,Idaho,Boise District Office,3948 Development Ave,"Boise, ID 83705",43.565486,-116.205388,federal
Bureau of Land Management,Idaho,Idaho Falls District Office,1405 Hollipark Drive,"Idaho Falls, ID 83401",43.508689,-112.006973,federal
Bureau of Land Management,Idaho,Coeur d'Alene District Office,3232 W. Nursery Rd,"Coeur d Alene, ID 83815",47.716656,-116.815855,federal
Bureau of Land Management,Idaho,Twin Falls District Office,2878 Addison Avenue East,"Twin Falls, ID 83301",42.561998,-114.424118,federal
Oregon Department of State Lands,Oregon,Department of State Lands,"775 Summer St. NE, Suite 100","Salem, OR 97301-1279",44.94549,-123.027455,state
Oregon Department of State Lands,Oregon,Bend Field Office,"951 SW Simpson Ave., Suite #104","Bend, OR 97702",44.047649,-121.324697,state
Oregon Department of State Lands,Oregon,South Slough Reserve,"61907 Seven Devils Rd., P.O. Box 5417","Charleston, OR 97420",43.295846,-124.334671,state
