df_id,lat,lon,manual_id,state,source,elev2,country,ownership,tot,n2,p
1,48.382,-123.53785,506,British Columbia,iNaturalist,46,Canada,Corporate/Other (Private),49,49,1
2,48.43302,-123.32149,135,British Columbia,iNaturalist,18,Canada,Corporate/Other (Private),50,46,0.92
3,48.43305,-123.32158,136,British Columbia,iNaturalist,18,Canada,Corporate/Other (Private),49,45,0.9183673469387755
4,48.52453,-123.5082,12,British Columbia,iNaturalist,257,Canada,Corporate/Other (Private),52,33,0.6346153846153846
5,48.52474,-123.50771,13,British Columbia,iNaturalist,246,Canada,Corporate/Other (Private),52,33,0.6346153846153846
6,48.64517,-123.40372,495,British Columbia,iNaturalist,6,Canada,Corporate/Other (Private),48,31,0.6458333333333334
7,48.71501,-123.64315,89,British Columbia,iNaturalist,60,Canada,Corporate/Other (Private),50,48,0.96
8,48.87305,-123.3466,29,British Columbia,iNaturalist,0,Canada,Corporate/Other (Private),50,27,0.54
9,49.03024,-119.47047,403,British Columbia,iNaturalist,301,Canada,Corporate/Other (Private),50,36,0.72
10,49.07632,-122.66217,306,British Columbia,iNaturalist,49,Canada,Corporate/Other (Private),49,45,0.9183673469387755
11,49.09206,-119.51987,464,British Columbia,iNaturalist,357,Canada,State (Public),50,26,0.52
12,49.09491,-119.52524,503,British Columbia,iNaturalist,358,Canada,State (Public),47,25,0.5319148936170213
13,49.10121,-123.92933,499,British Columbia,iNaturalist,33,Canada,Corporate/Other (Private),51,51,1
14,49.15449,-119.44415,487,British Columbia,iNaturalist,808,Canada,State (Public),51,28,0.5490196078431373
15,49.19624,-119.62492,205,British Columbia,iNaturalist,813,Canada,State (Public),50,29,0.58
16,49.22683,-124.0548,511,British Columbia,iNaturalist,112,Canada,Corporate/Other (Private),50,43,0.86
17,49.23921,-124.01958,514,British Columbia,iNaturalist,72,Canada,Corporate/Other (Private),47,32,0.6808510638297872
18,49.24425,-122.7786,32,British Columbia,iNaturalist,76,Canada,Corporate/Other (Private),50,41,0.82
19,49.28409,-119.51918,497,British Columbia,iNaturalist,358,Canada,State (Public),52,21,0.40384615384615385
20,49.28411,-119.5191,491,British Columbia,iNaturalist,358,Canada,State (Public),52,21,0.40384615384615385
21,49.28413,-119.51902,439,British Columbia,iNaturalist,358,Canada,State (Public),52,21,0.40384615384615385
22,49.2842,-119.51891,442,British Columbia,iNaturalist,358,Canada,State (Public),52,21,0.40384615384615385
23,49.28423,-119.51923,500,British Columbia,iNaturalist,358,Canada,State (Public),52,21,0.40384615384615385
24,49.28429,-119.51919,460,British Columbia,iNaturalist,358,Canada,State (Public),52,21,0.40384615384615385
