elev2,lng,lat,lon
NA,-123,49,-123
NA,-122.975,49,-122.975
NA,-122.95,49,-122.95
NA,-122.925,49,-122.925
NA,-122.9,49,-122.9
NA,-122.875,49,-122.875
NA,-122.85,49,-122.85
NA,-122.825,49,-122.825
NA,-122.8,49,-122.8
NA,-122.775,49,-122.775
18,-122.75,49,-122.75
60,-122.725,49,-122.725
123,-122.7,49,-122.7
140,-122.675,49,-122.675
146,-122.65,49,-122.65
101,-122.625,49,-122.625
80,-122.6,49,-122.6
94,-122.575,49,-122.575
69,-122.55,49,-122.55
50,-122.525,49,-122.525
39,-122.5,49,-122.5
41,-122.475,49,-122.475
45,-122.45,49,-122.45
45,-122.425,49,-122.425
55,-122.4,49,-122.4
59,-122.375,49,-122.375
52,-122.35,49,-122.35
61,-122.325,49,-122.325
33,-122.3,49,-122.3
22,-122.275,49,-122.275
17,-122.25,49,-122.25
7,-122.225,49,-122.225
10,-122.2,49,-122.2
7,-122.175,49,-122.175
67,-122.15,49,-122.15
459,-122.125,49,-122.125
200,-122.1,49,-122.1
228,-122.075,49,-122.075
396,-122.05,49,-122.05
885,-122.025,49,-122.025
766,-122,49,-122
1436,-121.975,49,-121.975
1038,-121.95,49,-121.95
1125,-121.925,49,-121.925
1212,-121.9,49,-121.9
1141,-121.875,49,-121.875
1790,-121.85,49,-121.85
1069,-121.825,49,-121.825
1271,-121.8,49,-121.8
957,-121.775,49,-121.775
696,-121.75,49,-121.75
800,-121.725,49,-121.725
1257,-121.7,49,-121.7
1925,-121.675,49,-121.675
1343,-121.65,49,-121.65
1009,-121.625,49,-121.625
994,-121.6,49,-121.6
1611,-121.575,49,-121.575
1839,-121.55,49,-121.55
1009,-121.525,49,-121.525
1872,-121.5,49,-121.5
2112,-121.475,49,-121.475
1373,-121.45,49,-121.45
1040,-121.425,49,-121.425
915,-121.4,49,-121.4
1549,-121.375,49,-121.375
883,-121.35,49,-121.35
895,-121.325,49,-121.325
1091,-121.3,49,-121.3
1775,-121.275,49,-121.275
2308,-121.25,49,-121.25
2230,-121.225,49,-121.225
1857,-121.2,49,-121.2
1953,-121.175,49,-121.175
1684,-121.15,49,-121.15
1173,-121.125,49,-121.125
646,-121.1,49,-121.1
486,-121.075,49,-121.075
660,-121.05,49,-121.05
1441,-121.025,49,-121.025
1764,-121,49,-121
1105,-120.975,49,-120.975
1218,-120.95,49,-120.95
1419,-120.925,49,-120.925
2058,-120.9,49,-120.9
1688,-120.875,49,-120.875
2055,-120.85,49,-120.85
1810,-120.825,49,-120.825
1339,-120.8,49,-120.8
1879,-120.775,49,-120.775
1511,-120.75,49,-120.75
1616,-120.725,49,-120.725
1719,-120.7,49,-120.7
1382,-120.675,49,-120.675
1866,-120.65,49,-120.65
1776,-120.625,49,-120.625
1815,-120.6,49,-120.6
1618,-120.575,49,-120.575
1293,-120.55,49,-120.55
1659,-120.525,49,-120.525
1545,-120.5,49,-120.5
1563,-120.475,49,-120.475
1741,-120.45,49,-120.45
1925,-120.425,49,-120.425
2254,-120.4,49,-120.4
1983,-120.375,49,-120.375
1972,-120.35,49,-120.35
1519,-120.325,49,-120.325
1862,-120.3,49,-120.3
2089,-120.275,49,-120.275
1802,-120.25,49,-120.25
1908,-120.225,49,-120.225
2058,-120.2,49,-120.2
2227,-120.175,49,-120.175
1982,-120.15,49,-120.15
1856,-120.125,49,-120.125
1821,-120.1,49,-120.1
1937,-120.075,49,-120.075
2004,-120.05,49,-120.05
1869,-120.025,49,-120.025
2022,-120,49,-120
2037,-119.975,49,-119.975
2299,-119.95,49,-119.95
2128,-119.925,49,-119.925
1943,-119.9,49,-119.9
1729,-119.875,49,-119.875
2183,-119.85,49,-119.85
1971,-119.825,49,-119.825
1532,-119.8,49,-119.8
1439,-119.775,49,-119.775
1181,-119.75,49,-119.75
361,-119.725,49,-119.725
396,-119.7,49,-119.7
440,-119.675,49,-119.675
497,-119.65,49,-119.65
741,-119.625,49,-119.625
667,-119.6,49,-119.6
690,-119.575,49,-119.575
713,-119.55,49,-119.55
770,-119.525,49,-119.525
618,-119.5,49,-119.5
333,-119.475,49,-119.475
277,-119.45,49,-119.45
322,-119.425,49,-119.425
584,-119.4,49,-119.4
787,-119.375,49,-119.375
995,-119.35,49,-119.35
1111,-119.325,49,-119.325
1005,-119.3,49,-119.3
1033,-119.275,49,-119.275
1111,-119.25,49,-119.25
1180,-119.225,49,-119.225
1252,-119.2,49,-119.2
1136,-119.175,49,-119.175
1316,-119.15,49,-119.15
1193,-119.125,49,-119.125
1269,-119.1,49,-119.1
1177,-119.075,49,-119.075
1107,-119.05,49,-119.05
845,-119.025,49,-119.025
1013,-119,49,-119
1306,-118.975,49,-118.975
1234,-118.95,49,-118.95
1033,-118.925,49,-118.925
916,-118.9,49,-118.9
810,-118.875,49,-118.875
765,-118.85,49,-118.85
