df_id,lat_site,lon_site,mean_biomass,max_biomass,mean_cover
1,49,-123,5.420704845814993,250,3.345814977973576
10,49,-122.775,1.6732891832229488,192,12.885209713024251
100,49,-120.525,17.435840707964704,205,76.81858407079642
1000,49.125,-120.65,125.00221729490022,255,85.90022172949004
10000,50.375,-121.9,45.02654867256637,221,26.046460176991168
10001,50.375,-121.875,38.01535087719306,223,21.5723684210526
10002,50.375,-121.85,22.245033112582746,223,11.273730684326736
10003,50.375,-121.825,26.473568281938395,255,15.440528634361202
10004,50.375,-121.8,27.150110375275975,252,15.843267108167774
10005,50.375,-121.775,36.24835164835163,252,21.617582417582334
10006,50.375,-121.75,60.658314350797255,255,36.849658314350805
10007,50.375,-121.725,99.82857142857145,255,57.63516483516483
10008,50.375,-121.7,99.54845814977973,255,56.185022026431746
10009,50.375,-121.675,77.51655629139071,252,43.40176600441502
1001,49.125,-120.625,101.88131868131872,255,82.79780219780221
10010,50.375,-121.65,63.971302428256074,252,42.16777041942607
10011,50.375,-121.625,80.64096916299559,252,60.41409691629959
10012,50.375,-121.6,81.1216814159292,252,67.03318584070794
10013,50.375,-121.575,78.30396475770924,252,70.59030837004403
10014,50.375,-121.55,83.67841409691633,255,73.88325991189429
10015,50.375,-121.525,94.42666666666665,255,75.92666666666666
10016,50.375,-121.5,99.63796909492271,255,79.25165562913907
10017,50.375,-121.475,89.5396475770925,255,72.1431718061674
10018,50.375,-121.45,74.25165562913917,255,65.24061810154522
10019,50.375,-121.425,53.46681415929205,252,42.66814159292034
1002,49.125,-120.6,83.54185022026437,252,77.98458149779736
10020,50.375,-121.4,44.41501103752757,252,27.558498896247258
10021,50.375,-121.375,58.64785553047409,252,30.345372460496584
10022,50.375,-121.35,81.76651982378854,252,48.768722466960384
10023,50.375,-121.325,85.5188470066518,252,55.871396895787086
10024,50.375,-121.3,65.38189845474619,255,45.20088300220756
10025,50.375,-121.275,51.993377483443794,255,33
10026,50.375,-121.25,44.18805309734514,240,24.48008849557522
10027,50.375,-121.225,59.2930648769575,240,31.81431767337806
10028,50.375,-121.2,79.27593818984548,252,53.958057395143484
10029,50.375,-121.175,72.81057268722473,252,69.97136563876651
1003,49.125,-120.575,82.75717439293598,252,78.3112582781457
10030,50.375,-121.15,68.86975717439297,255,76.46357615894037
10031,50.375,-121.125,71.17180616740082,255,78.9603524229075
10032,50.375,-121.1,83.09271523178803,255,83.45033112582783
10033,50.375,-121.075,74.07095343680716,255,83.96452328159644
10034,50.375,-121.05,62.20971302428244,255,83.15011037527593
10035,50.375,-121.025,60,255,85.90748898678413
10036,50.375,-121,57.905494505494495,255,86.17142857142858
10037,50.375,-120.975,44.707964601769916,188,80.82300884955752
10038,50.375,-120.95,39.068281938325995,188,75.647577092511
10039,50.375,-120.925,35.3170731707317,194,70.46563192904655
1004,49.125,-120.55,86.38852097130234,252,78.83885209713023
10040,50.375,-120.9,38.4048672566372,198,68.06637168141592
10041,50.375,-120.875,58.95132743362828,252,71.27876106194694
10042,50.375,-120.85,77.57268722466961,252,72.82819383259911
10043,50.375,-120.825,82.48458149779738,252,63.431718061674005
10044,50.375,-120.8,80.21681415929204,252,57.856194690265475
10045,50.375,-120.775,96.94039735099335,255,61.273730684326736
10046,50.375,-120.75,118.04615384615391,255,74.39340659340661
10047,50.375,-120.725,113.88962472406179,255,75.67108167770415
10048,50.375,-120.7,95.46578366445915,255,80.71302428256071
10049,50.375,-120.675,60.306666666666686,255,80.82888888888891
1005,49.125,-120.525,95.45695364238405,252,83.82781456953639
10050,50.375,-120.65,39.68874172185427,255,73.69315673289184
10051,50.375,-120.625,35.06401766004417,198,72.47019867549668
10052,50.375,-120.6,51.68584070796459,255,71.98230088495575
10053,50.375,-120.575,56.96868008948546,255,71.12304250559285
10054,50.375,-120.55,54.59602649006622,255,57.39514348785876
10055,50.375,-120.525,43.32599118942732,252,43.87224669603521
10056,50.375,-120.5,46.176600441501115,255,47.03532008830022
10057,50.375,-120.475,63.590090090090065,255,60.99099099099101
10058,50.375,-120.45,62.35320088300228,236,56.46799116997799
10059,50.375,-120.425,45.079295154185,221,33.25550660792958
1006,49.125,-120.5,100.60762331838558,255,83.8609865470852
10060,50.375,-120.4,18.212719298245567,197,11.572368421052614
10061,50.375,-120.375,13.704288939051938,197,6.297968397291187
10062,50.375,-120.35,8.58278145695365,197,3.5783664459161133
10063,50.375,-120.325,15.666666666666702,185,10.231788079470247
10064,50.375,-120.3,36.90088105726879,195,27.376651982378828
10065,50.375,-120.275,58.31096196867999,202,45.6487695749441
10066,50.375,-120.25,71.88716814159285,202,59.83185840707954
10067,50.375,-120.225,72.91814159292039,252,66.96017699115043
10068,50.375,-120.2,54.99557522123888,252,66.46017699115045
10069,50.375,-120.175,39.702882483370274,194,69.96674057649665
1007,49.125,-120.475,111.88470066518842,255,82.00443458980044
10070,50.375,-120.15,37.544247787610615,198,73.73672566371681
10071,50.375,-120.125,36.940265486725664,210,74.27212389380531
10072,50.375,-120.1,35.503311258278146,210,71.61147902869757
10073,50.375,-120.075,36.71081677704194,210,71.47902869757176
10074,50.375,-120.05,40.641758241758254,210,67.47692307692307
10075,50.375,-120.025,39.1519823788546,190,63.852422907489
10076,50.375,-120,43.9251700680272,221,54.62811791383222
10077,50.375,-119.975,50.08114035087719,221,52.539473684210535
10078,50.375,-119.95,67.95154185022035,252,53.87885462555065
10079,50.375,-119.925,77.70769230769241,252,59.60439560439558
1008,49.125,-120.45,103.90286975717437,255,78.64459161147907
10080,50.375,-119.9,86.01333333333335,255,60.326666666666675
10081,50.375,-119.875,92.22246696035242,255,61.726872246696004
10082,50.375,-119.85,94.65198237885451,255,63.61674008810572
10083,50.375,-119.825,93.30837004405282,255,67.18942731277535
10084,50.375,-119.8,85.24229074889871,255,73.66960352422909
10085,50.375,-119.775,66.9933774834438,255,74.82560706401766
10086,50.375,-119.75,58.90949227373063,255,72.92273730684327
10087,50.375,-119.725,49.25607064017666,255,65.34216335540839
10088,50.375,-119.7,40.33260393873091,224,62.991247264770244
10089,50.375,-119.675,33.267573696145156,175,62.58049886621315
1009,49.125,-120.425,96.0638766519824,255,74.7136563876652
10090,50.375,-119.65,47.647577092511,252,66.6541850220264
10091,50.375,-119.625,77.33480176211447,255,70.14096916299559
10092,50.375,-119.6,96.66887417218537,255,78.41942604856513
10093,50.375,-119.575,108.79157427937913,255,81.27050997782706
10094,50.375,-119.55,117.17738359201773,255,84.02882483370288
10095,50.375,-119.525,117.81456953642385,255,83.5320088300221
10096,50.375,-119.5,114.48123620309052,255,83.84768211920532
10097,50.375,-119.475,115.16740088105723,255,82.590308370044
10098,50.375,-119.45,126.0636363636364,252,86.16136363636366
10099,50.375,-119.425,135.11013215859037,252,91.68502202643172
101,49,-120.5,22.30242825607058,252,71.85430463576152
1010,49.125,-120.4,92.75770925110133,252,78.53744493392072
10100,50.375,-119.4,134.32008830022073,255,91.8476821192053
10101,50.375,-119.375,120.58057395143487,255,82.19205298013246
10102,50.375,-119.35,96.38325991189423,255,63.05506607929517
10103,50.375,-119.325,54.936263736263726,252,33.547252747252756
10104,50.375,-119.3,25.911894273127725,250,14.9955947136564
10105,50.375,-119.275,19.013274336283207,195,9.03539823008849
10106,50.375,-119.25,39.686534216335545,252,22.94039735099337
10107,50.375,-119.225,72.48123620309043,255,45.88079470198671
10108,50.375,-119.2,118.60792951541845,255,72.40969162995599
10109,50.375,-119.175,141.4977876106194,255,84.81637168141592
1011,49.125,-120.375,94.93392070484583,252,78.85022026431719
10110,50.375,-119.15,149.2582781456955,255,85.81898454746138
10111,50.375,-119.125,150.75496688741728,255,88.13245033112582
10112,50.375,-119.1,150.62247191011258,255,86.57078651685394
10113,50.375,-119.075,126.87389380530993,252,82.0243362831858
10114,50.375,-119.05,116.17960088691805,252,81.50554323725055
10115,50.375,-119.025,134.33185840707972,255,85.31858407079648
