elev2,lat,lon
1076,45.91618601,-117.58358
1396,32.63074182,-107.3690792
1955,38.18960753,-112.7579258
628,49.35307838,-119.6050093
1774,38.09892201,-120.0373778
1808,43.82199321,-118.8419793
1656,36.86893336,-110.388739
690,50.63302123,-120.170303
1884,38.98554399,-119.2456729
1188,37.11434611,-118.210817
1177,44.86269717,-119.6314548
880,47.36378533,-116.8814522
1603,37.54668449,-117.3199723
90,31.95378174,-114.1113249
631,52.68717558,-109.7687885
1369,51.87681198,-115.1243615
1977,44.34405136,-116.1416792
NA,36.52419239,-122.0108627
1075,48.27996458,-118.7570664
2573,41.81341394,-115.4929615
2614,33.87624055,-109.284436
1934,45.06551638,-117.3393996
1798,44.38731262,-116.1820826
915,50.66474158,-121.2420775
NA,49.99692299,-127.4161486
2432,38.07050601,-105.4662856
654,51.03309,-121.43594
1939,42.51457083,-106.4107447
1490,46.05054976,-117.679781
710,43.00811308,-123.4357454
414,50.66322763,-119.8834964
1241,46.82064345,-113.9732382
2103,40.039,-105.39
928,36.12213546,-116.4082785
1835,51.49236121,-118.9526567
1606,42.17837,-122.47371
937,47.88360571,-116.1519705
2402,41.82623898,-115.2079803
848,49.01834465,-109.5688826
458,50.65976237,-120.1606888
532,49.99629907,-126.9039796
579,34.00499252,-115.1528813
539,52.62881827,-106.6390827
814,48.38766697,-105.3277647
1756,44.04555765,-118.6019933
2382,39.284766,-105.278067
2094,38.781,-104.881
668,51.90930121,-108.6910076
2037,44.76607354,-116.1877842
803,35.94438285,-115.1918434
1451,44.43574447,-115.7913621
1622,44.98515224,-117.3367916
1095,45.49405093,-108.899041
979,32.10716969,-110.6540508
1897,41.2496437,-109.6826469
763,48.16964802,-117.1132701
914,46.39864083,-122.2663294
534,45.82109167,-120.7878577
2029,45.33072756,-112.2808197
575,50.17434681,-104.3540917
1366,45.19838173,-116.7411395
698,48.41881,-118.25933
1460,43.5645574,-120.6503471
1286,45.83097078,-117.7242452
1143,47.07723005,-116.8919279
1853,35.61787317,-112.6150861
599,34.31054166,-116.1741774
NA,47.50413279,-124.4246422
1683,43.623356,-115.271301
605,50.42686427,-105.9186147
1449,52.62914351,-125.6415925
1385,46.701,-114.001
2309,39.731,-105.248
1599,40.0308424,-119.1392818
1457,45.75532073,-117.28159
1419,40.191,-121.119
1556,40.20008271,-120.6174272
1494,48.73167,-119.17528
1439,43.82566635,-107.7662207
2688,39.96607054,-110.560908
2495,39.1500251,-107.501456
1679,45.05180763,-117.441913
1040,47.08774087,-116.8671252
1253,45.37625118,-118.1699762
1582,43.96387885,-118.7986422
93,36.48840299,-119.5183132
1113,49.05689371,-118.6736046
641,49.50527699,-121.9893124
2706,39.91700121,-110.9274677
2561,40.963,-105.578
1617,41.90447314,-120.5964743
1192,47.56653288,-116.9459195
1927,41.64516238,-113.6880472
2403,37.60519475,-105.0590628
1587,46.13918191,-117.7081569
2479,32.97384759,-107.7597938
1266,47.7092197,-114.5496061
1994,43.53063299,-114.4527081
1640,52.84799415,-118.2558177
1487,46.10592759,-117.6665791
3063,44.31747731,-113.9333603
1188,35.2947898,-115.7763358
1885,43.48878267,-115.458094
1033,46.07407335,-117.4344626
773,48.45960958,-108.3101396
569,36.55764715,-119.1704651
1589,46.7918537,-113.5082455
641,51.46588593,-108.1021644
2095,42.20320031,-108.2187694
117,49.53908015,-121.7792161
854,33.25321399,-111.2055837
762,47.68909823,-123.9732993
842,52.11413588,-119.2246257
2198,41.16895081,-111.5324959
1156,52.97774341,-124.2167015
886,35.39602996,-116.5048677
2540,44.69987914,-107.3563624
1047,48.1272,-120.15098
1987,39.47975014,-107.5691589
763,49.6269788,-119.7867488
1483,40.09735954,-109.6256377
172,46.89582298,-123.838787
851,46.16527609,-105.697171
1748,39.080568,-120.416609
1292,44.97790781,-117.1113601
928,49.4909031,-112.2860297
650,49.3991687,-119.6288909
217,44,-123.084
1249,46.00308356,-117.8699495
2077,45.10322567,-117.3652448
1648,49.15930589,-120.8519232
1634,45.28636,-116.95014
624,48.02462773,-116.5206343
725,50.69197399,-109.9361477
601,50.65944656,-119.9164084
2271,40.637,-111.482
1147,41.35399001,-123.7014195
1647,43.14266149,-107.9730954
1285,40.7770736,-113.7289202
2508,34.65216197,-106.4397705
809,45.9769,-121.041
1887,37.82052044,-115.4386501
998,45.96662448,-117.5562158
2162,42.99304794,-110.7696103
1685,43.10787181,-116.7648963
1857,34.30253576,-111.8119123
1502,42.87892313,-119.1856463
1310,45.45727738,-118.3885451
1378,45.42786,-118.16547
1608,38.98899699,-109.6813267
1670,42.74873858,-104.6396891
1663,47.27958707,-115.5303131
2431,37.79369539,-112.5568042
667,32.32903366,-111.0593203
725,50.67453256,-121.2521815
1413,44.665491,-116.86794
964,53.08174829,-125.7626851
2355,36.256,-115.646
752,50.78719475,-120.3708839
105,43.76119742,-123.8859292
538,36.42666147,-120.5529796
1333,42.40759614,-121.3079998
2374,43.72551942,-114.9604196
1927,37.51919242,-119.732528
2846,35.62870825,-105.5316791
1063,52.36287744,-115.190441
2163,34.39680373,-108.5637994
1556,32.50111763,-105.7796708
2036,43.49609758,-115.1798341
