name,n,Kingdom,Clade,Division,Class,Order,Family,Genus,Species,Type,multi_species,notes,preference
Douglas-fir,2621,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pseudotsuga,Pseudotsuga menziesii,Evergreen conifer,,,preferred
Ponderosa pine,1727,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus ponderosa,Evergreen conifer,,,secondary
Lodgepole pine,831,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus contorta,Evergreen conifer,,,secondary
Grand fir,820,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies grandis,Evergreen conifer,,,preferred
California mixed conifer,439,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies concolor,Evergreen conifer,4,,
California mixed conifer,439,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus ponderosa,Evergreen conifer,4,,
California mixed conifer,439,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus lambertiana,Evergreen conifer,4,,
California mixed conifer,439,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pseudotsuga,Pseudotsuga menziesii,Evergreen conifer,4,,
Engelmann spruce / subalpine fir,,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies lasiocarpa,Evergreen conifer,2,,secondary
Engelmann spruce / subalpine fir,364,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea engelmannii,Evergreen conifer,2,,secondary
Pinyon juniper woodland,,Plantae,Gymnospermae,Pinophyta,Pinopsida,Cupressales,Cupressaceae,Juniperus,,Evergreen conifer,3,,
Pinyon juniper woodland,,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,,,3,,
Pinyon juniper woodland,315,Plantae,Angiosperms,,Rosids,Fagales,Fagaceae,Quercus,,,3,,
White fir,239,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies concolor,Evergreen conifer,,,preferred
Western redcedar,220,Plantae,Gymnospermae,Pinophyta,Pinopsida,Cupressales,Cupressaceae,Thuja,Thuja plicata,Evergreen conifer,,,
Engelmann spruce,198,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea engelmannii,Deciduous conifer,,,secondary
Western juniper,183,Plantae,Gymnospermae,Pinophyta,Pinopsida,Cupressales,Cupressaceae,Juniperus,Juniperus occidentalis,Evergreen conifer,,,
Mountain hemlock,151,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Tsuga,Tsuga mertensiana,Evergreen conifer,,,
Western larch,144,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Larix,Larix occidentalis,Deciduous conifer,,,secondary
Juniper woodland,142,Plantae,Gymnospermae,Pinophyta,Pinopsida,Cupressales,Cupressaceae,Juniperus,,,,,
Jeffrey pine / Coulter pine / bigcone Douglas-fir,,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus jeffreyi,Evergreen conifer,3,,
Jeffrey pine / Coulter pine / bigcone Douglas-fir,,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus coulteri,Evergreen conifer,3,,
Jeffrey pine / Coulter pine / bigcone Douglas-fir,140,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pseudotsuga,Pseudotsuga macrocarpa,Evergreen conifer,3,,
Whitebark pine,129,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus albicaulis,Evergreen conifer,,,
Deciduous oak woodland,127,Plantae,Angiosperms,,Rosids,Fagales,Fagaceae,Quercus,,,,,
Subalpine fir,123,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies lasiocarpa,Evergreen conifer,,,secondary
Aspen,120,Plantae,Angiosperms,,Rosids,Malpighiales,Salicaceae,Populus,Populus tremuloides,Deciduous,,,
Western hemlock,108,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Tsuga,Tsuga heterophylla,Evergreen conifer,,,
Pacific silver fir,103,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies amabilis,Evergreen conifer,,,
Canyon live oak / interior live oak,94,Plantae,Angiosperms,,Rosids,Fagales,Fagaceae,Quercus,Quercus chrysolepis,Evergreen oak,,,
Red fir,88,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies magnifica,Evergreen conifer,,,
Jack pine,76,Plantae,Gymnospermae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus banksiana,Evergreen conifer,,error in database,
Largetooth aspen,68,Plantae,Angiosperms,,Rosids,Malpighiales,Salicaceae,Populus,Populus grandidentata,Deciduous hardwood,,error in database,
Evergreen oak woodland,67,Plantae,Angiosperms,,Rosids,Fagales,Fagaceae,Quercus,,Evergreen oak,,,
Trembling aspen,60,Plantae,Angiosperms,,Rosids,Malpighiales,Salicaceae,Populus,Populus tremuloides,Deciduous,,,
