tot,false_positive,true_positive,false_negative,true_negative,thresh,lag_pr,lag_rh,lag_temp
43385,32171,11214,0,0,0,0,0,0
43385,11027,11060,154,21144,0.025,0,0,0
43385,8379,10996,218,23792,0.05,0,0,0
43385,6197,10930,284,25974,0.07500000000000001,0,0,0
43385,4670,10823,391,27501,0.1,0,0,0
43385,3736,10737,477,28435,0.125,0,0,0
43385,3126,10650,564,29045,0.15000000000000002,0,0,0
43385,2602,10559,655,29569,0.17500000000000002,0,0,0
43385,2169,10477,737,30002,0.2,0,0,0
43385,1826,10371,843,30345,0.225,0,0,0
43385,1519,10231,983,30652,0.25,0,0,0
43385,1311,10089,1125,30860,0.275,0,0,0
43385,1151,9969,1245,31020,0.30000000000000004,0,0,0
43385,1035,9842,1372,31136,0.325,0,0,0
43385,928,9709,1505,31243,0.35000000000000003,0,0,0
43385,837,9579,1635,31334,0.375,0,0,0
43385,748,9472,1742,31423,0.4,0,0,0
43385,673,9390,1824,31498,0.42500000000000004,0,0,0
43385,607,9278,1936,31564,0.45,0,0,0
43385,556,9186,2028,31615,0.47500000000000003,0,0,0
43385,500,9094,2120,31671,0.5,0,0,0
43385,441,8957,2257,31730,0.525,0,0,0
43385,393,8845,2369,31778,0.55,0,0,0
43385,349,8723,2491,31822,0.5750000000000001,0,0,0
43385,311,8609,2605,31860,0.6000000000000001,0,0,0
43385,270,8464,2750,31901,0.625,0,0,0
43385,234,8362,2852,31937,0.65,0,0,0
43385,206,8241,2973,31965,0.675,0,0,0
43385,174,8110,3104,31997,0.7000000000000001,0,0,0
43385,155,7970,3244,32016,0.7250000000000001,0,0,0
43385,130,7801,3413,32041,0.75,0,0,0
43385,111,7599,3615,32060,0.775,0,0,0
43385,90,7356,3858,32081,0.8,0,0,0
43385,72,7066,4148,32099,0.8250000000000001,0,0,0
43385,53,6743,4471,32118,0.8500000000000001,0,0,0
43385,38,6328,4886,32133,0.875,0,0,0
43385,30,5794,5420,32141,0.9,0,0,0
43385,20,5062,6152,32151,0.925,0,0,0
43385,10,4090,7124,32161,0.9500000000000001,0,0,0
43385,7,2543,8671,32164,0.9750000000000001,0,0,0
43385,0,11,11203,32171,1,0,0,0
43385,32171,11214,0,0,0,1,1,1
43385,11615,11056,158,20556,0.025,1,1,1
43385,9059,10983,231,23112,0.05,1,1,1
43385,7254,10927,287,24917,0.07500000000000001,1,1,1
43385,5670,10815,399,26501,0.1,1,1,1
43385,4465,10694,520,27706,0.125,1,1,1
43385,3558,10615,599,28613,0.15000000000000002,1,1,1
43385,2919,10529,685,29252,0.17500000000000002,1,1,1
43385,2493,10436,778,29678,0.2,1,1,1
43385,2104,10304,910,30067,0.225,1,1,1
43385,1820,10202,1012,30351,0.25,1,1,1
43385,1545,10057,1157,30626,0.275,1,1,1
43385,1305,9915,1299,30866,0.30000000000000004,1,1,1
43385,1144,9810,1404,31027,0.325,1,1,1
43385,1028,9715,1499,31143,0.35000000000000003,1,1,1
43385,935,9621,1593,31236,0.375,1,1,1
43385,836,9531,1683,31335,0.4,1,1,1
43385,760,9406,1808,31411,0.42500000000000004,1,1,1
43385,674,9312,1902,31497,0.45,1,1,1
43385,589,9205,2009,31582,0.47500000000000003,1,1,1
43385,530,9089,2125,31641,0.5,1,1,1
43385,482,8956,2258,31689,0.525,1,1,1
43385,430,8833,2381,31741,0.55,1,1,1
43385,387,8706,2508,31784,0.5750000000000001,1,1,1
43385,351,8573,2641,31820,0.6000000000000001,1,1,1
43385,305,8433,2781,31866,0.625,1,1,1
43385,265,8281,2933,31906,0.65,1,1,1
43385,233,8107,3107,31938,0.675,1,1,1
43385,185,7932,3282,31986,0.7000000000000001,1,1,1
43385,168,7763,3451,32003,0.7250000000000001,1,1,1
43385,147,7552,3662,32024,0.75,1,1,1
43385,123,7309,3905,32048,0.775,1,1,1
43385,104,7011,4203,32067,0.8,1,1,1
43385,88,6696,4518,32083,0.8250000000000001,1,1,1
43385,64,6240,4974,32107,0.8500000000000001,1,1,1
43385,44,5671,5543,32127,0.875,1,1,1
43385,28,4977,6237,32143,0.9,1,1,1
43385,22,4120,7094,32149,0.925,1,1,1
43385,12,3119,8095,32159,0.9500000000000001,1,1,1
43385,4,1908,9306,32167,0.9750000000000001,1,1,1
43385,0,0,11214,32171,1,1,1,1
43385,32171,11214,0,0,0,2,2,2
43385,11761,11064,150,20410,0.025,2,2,2
43385,9142,10984,230,23029,0.05,2,2,2
43385,7324,10910,304,24847,0.07500000000000001,2,2,2
43385,5709,10801,413,26462,0.1,2,2,2
43385,4418,10700,514,27753,0.125,2,2,2
43385,3481,10619,595,28690,0.15000000000000002,2,2,2
43385,2881,10542,672,29290,0.17500000000000002,2,2,2
43385,2446,10457,757,29725,0.2,2,2,2
43385,2071,10342,872,30100,0.225,2,2,2
43385,1752,10217,997,30419,0.25,2,2,2
43385,1512,10043,1171,30659,0.275,2,2,2
43385,1285,9908,1306,30886,0.30000000000000004,2,2,2
43385,1109,9782,1432,31062,0.325,2,2,2
43385,1007,9696,1518,31164,0.35000000000000003,2,2,2
43385,893,9583,1631,31278,0.375,2,2,2
43385,806,9464,1750,31365,0.4,2,2,2
43385,728,9319,1895,31443,0.42500000000000004,2,2,2
43385,663,9233,1981,31508,0.45,2,2,2
43385,591,9125,2089,31580,0.47500000000000003,2,2,2
43385,532,9017,2197,31639,0.5,2,2,2
43385,478,8909,2305,31693,0.525,2,2,2
43385,422,8782,2432,31749,0.55,2,2,2
43385,372,8652,2562,31799,0.5750000000000001,2,2,2
43385,332,8533,2681,31839,0.6000000000000001,2,2,2
43385,292,8404,2810,31879,0.625,2,2,2
43385,248,8261,2953,31923,0.65,2,2,2
43385,211,8072,3142,31960,0.675,2,2,2
43385,184,7906,3308,31987,0.7000000000000001,2,2,2
43385,152,7682,3532,32019,0.7250000000000001,2,2,2
43385,137,7458,3756,32034,0.75,2,2,2
43385,120,7213,4001,32051,0.775,2,2,2
43385,100,6916,4298,32071,0.8,2,2,2
43385,82,6514,4700,32089,0.8250000000000001,2,2,2
43385,64,6097,5117,32107,0.8500000000000001,2,2,2
43385,48,5563,5651,32123,0.875,2,2,2
43385,32,4810,6404,32139,0.9,2,2,2
43385,19,3935,7279,32152,0.925,2,2,2
43385,9,2966,8248,32162,0.9500000000000001,2,2,2
43385,3,1762,9452,32168,0.9750000000000001,2,2,2
43385,0,0,11214,32171,1,2,2,2
43383,32169,11214,0,0,0,3,3,3
43383,11699,11067,147,20470,0.025,3,3,3
43383,9117,10989,225,23052,0.05,3,3,3
43383,7305,10914,300,24864,0.07500000000000001,3,3,3
43383,5828,10811,403,26341,0.1,3,3,3
43383,4474,10720,494,27695,0.125,3,3,3
43383,3481,10647,567,28688,0.15000000000000002,3,3,3
43383,2848,10559,655,29321,0.17500000000000002,3,3,3
43383,2414,10439,775,29755,0.2,3,3,3
43383,2064,10319,895,30105,0.225,3,3,3
43383,1742,10190,1024,30427,0.25,3,3,3
43383,1494,10073,1141,30675,0.275,3,3,3
43383,1300,9911,1303,30869,0.30000000000000004,3,3,3
43383,1144,9780,1434,31025,0.325,3,3,3
43383,1002,9660,1554,31167,0.35000000000000003,3,3,3
43383,886,9551,1663,31283,0.375,3,3,3
43383,790,9445,1769,31379,0.4,3,3,3
43383,715,9348,1866,31454,0.42500000000000004,3,3,3
43383,628,9236,1978,31541,0.45,3,3,3
43383,573,9102,2112,31596,0.47500000000000003,3,3,3
43383,510,8980,2234,31659,0.5,3,3,3
43383,455,8874,2340,31714,0.525,3,3,3
43383,407,8762,2452,31762,0.55,3,3,3
43383,367,8665,2549,31802,0.5750000000000001,3,3,3
43383,324,8534,2680,31845,0.6000000000000001,3,3,3
43383,286,8411,2803,31883,0.625,3,3,3
43383,250,8271,2943,31919,0.65,3,3,3
43383,218,8105,3109,31951,0.675,3,3,3
43383,187,7905,3309,31982,0.7000000000000001,3,3,3
43383,164,7698,3516,32005,0.7250000000000001,3,3,3
43383,139,7483,3731,32030,0.75,3,3,3
43383,115,7214,4000,32054,0.775,3,3,3
43383,102,6897,4317,32067,0.8,3,3,3
43383,85,6530,4684,32084,0.8250000000000001,3,3,3
43383,65,6118,5096,32104,0.8500000000000001,3,3,3
43383,49,5536,5678,32120,0.875,3,3,3
43383,29,4828,6386,32140,0.9,3,3,3
43383,16,3944,7270,32153,0.925,3,3,3
43383,8,2828,8386,32161,0.9500000000000001,3,3,3
43383,2,1576,9638,32167,0.9750000000000001,3,3,3
43383,0,0,11214,32169,1,3,3,3
43382,32168,11214,0,0,0,4,4,4
43382,11773,11061,153,20395,0.025,4,4,4
43382,9181,10992,222,22987,0.05,4,4,4
43382,7427,10905,309,24741,0.07500000000000001,4,4,4
43382,5963,10797,417,26205,0.1,4,4,4
43382,4663,10714,500,27505,0.125,4,4,4
43382,3637,10640,574,28531,0.15000000000000002,4,4,4
43382,2979,10540,674,29189,0.17500000000000002,4,4,4
43382,2512,10454,760,29656,0.2,4,4,4
43382,2104,10319,895,30064,0.225,4,4,4
43382,1792,10201,1013,30376,0.25,4,4,4
43382,1515,10095,1119,30653,0.275,4,4,4
43382,1278,9953,1261,30890,0.30000000000000004,4,4,4
43382,1121,9845,1369,31047,0.325,4,4,4
43382,999,9740,1474,31169,0.35000000000000003,4,4,4
43382,894,9618,1596,31274,0.375,4,4,4
43382,782,9502,1712,31386,0.4,4,4,4
43382,712,9378,1836,31456,0.42500000000000004,4,4,4
43382,640,9262,1952,31528,0.45,4,4,4
43382,574,9143,2071,31594,0.47500000000000003,4,4,4
43382,512,9040,2174,31656,0.5,4,4,4
43382,457,8928,2286,31711,0.525,4,4,4
43382,407,8802,2412,31761,0.55,4,4,4
43382,357,8687,2527,31811,0.5750000000000001,4,4,4
43382,316,8559,2655,31852,0.6000000000000001,4,4,4
43382,291,8386,2828,31877,0.625,4,4,4
43382,249,8214,3000,31919,0.65,4,4,4
