value,yhat,lb1,lb2,lb3,ub1,ub2,ub3,param,lag
0,0.290971883229771,0,0,0.01,0.767,0.61575,0.50725,mean_cover,0
1.97280353200883,0.295030986970067,0,5e-4,0.011,0.7825,0.62375,0.5125,mean_cover,0
3.94560706401766,0.308990438404737,0,7.5e-4,0.0125,0.81225,0.648,0.54375,mean_cover,0
5.91841059602649,0.341238291133793,2.5e-4,0.0015,0.01475,0.859,0.707,0.624,mean_cover,0
7.89121412803532,0.378502130058351,5e-4,0.00225,0.01675,0.91875,0.7915,0.71925,mean_cover,0
9.86401766004415,0.387997861335353,5e-4,0.0025,0.0185,0.93075,0.81275,0.741,mean_cover,0
11.836821192053,0.427231100573179,0.0055,0.016,0.03375,0.9635,0.8835,0.817,mean_cover,0
13.8096247240618,0.444843016851128,0.0065,0.02325,0.04275,0.978,0.9105,0.8465,mean_cover,0
15.7824282560706,0.453089234383875,0.00625,0.024,0.0445,0.98475,0.9235,0.85975,mean_cover,0
17.7552317880795,0.4556159397215,0.00675,0.02475,0.04575,0.98475,0.926,0.863,mean_cover,0
19.7280353200883,0.459808505602699,0.007,0.0259000000000001,0.048,0.98475,0.9295,0.869,mean_cover,0
21.7008388520971,0.472640768886517,0.0075,0.02675,0.05025,0.9855,0.94625,0.8945,mean_cover,0
23.673642384106,0.483006704304869,0.00775,0.027,0.0505,0.991,0.96275,0.92125,mean_cover,0
25.6464459161148,0.488678473070899,0.0075,0.0265,0.05025,0.9925,0.9705,0.933,mean_cover,0
27.6192494481236,0.499804473552851,0.00775,0.02675,0.0505,0.996,0.98375,0.9525,mean_cover,0
29.5920529801324,0.509157624317951,0.009,0.02825,0.0525,0.99725,0.988,0.959,mean_cover,0
31.5648565121413,0.513827146840629,0.00975,0.0295,0.05475,0.99775,0.98975,0.9635,mean_cover,0
33.5376600441501,0.516541314525707,0.01075,0.031,0.05725,0.99775,0.9905,0.965,mean_cover,0
35.5104635761589,0.522216207377317,0.01175,0.0325,0.0605,0.99825,0.99225,0.9695,mean_cover,0
37.4832671081678,0.524271373737026,0.01125,0.03225,0.0605,0.99825,0.9925,0.972,mean_cover,0
39.4560706401766,0.526366920839286,0.01125,0.0325,0.061,0.99875,0.99375,0.9745,mean_cover,0
41.4288741721854,0.530550351136892,0.01125,0.033,0.06275,0.99875,0.99425,0.977,mean_cover,0
43.4016777041942,0.532516218565503,0.01075,0.03275,0.06375,0.99875,0.99475,0.97975,mean_cover,0
45.3744812362031,0.532648544675284,0.01025,0.03275,0.064,0.99825,0.99425,0.97975,mean_cover,0
47.3472847682119,0.534137894383531,0.0095,0.0325,0.0645,0.99925,0.99625,0.98175,mean_cover,0
49.3200883002207,0.535337203297933,0.00875,0.0325,0.065,0.99925,0.9965,0.98225,mean_cover,0
51.2928918322296,0.535792407525346,0.00875,0.03275,0.0655,0.99925,0.99625,0.98175,mean_cover,0
53.2656953642384,0.536377231182333,0.0085,0.03275,0.0655,0.99925,0.9965,0.98025,mean_cover,0
55.2384988962472,0.535691533125635,0.00825,0.0325,0.06525,0.99925,0.9965,0.97825,mean_cover,0
57.2113024282561,0.536568148957777,0.00775,0.03225,0.06575,0.99875,0.996,0.9775,mean_cover,0
59.1841059602649,0.536716504294542,0.00775,0.03225,0.066,0.99925,0.9965,0.97675,mean_cover,0
61.1569094922737,0.537897111726939,0.007,0.032,0.0665,0.9995,0.997,0.98025,mean_cover,0
63.1297130242825,0.538159035750555,0.00675,0.03275,0.068,0.9995,0.997,0.98225,mean_cover,0
65.1025165562914,0.537486161075443,0.0065,0.0325,0.06825,0.9995,0.997,0.9825,mean_cover,0
67.0753200883002,0.534169828046199,0.00575,0.0315,0.06775,0.9995,0.99675,0.981,mean_cover,0
69.048123620309,0.530005073411708,0.0055,0.03075,0.0675,0.9995,0.9965,0.979,mean_cover,0
71.0209271523179,0.529377678709744,0.005,0.0305,0.0675,0.9995,0.99675,0.98075,mean_cover,0
72.9937306843267,0.527712846618586,0.00475,0.03025,0.0675,0.9995,0.99625,0.97875,mean_cover,0
74.9665342163355,0.525378892197532,0.004,0.02975,0.06725,0.999,0.99525,0.97625,mean_cover,0
76.9393377483444,0.523992202695492,0.00425,0.03025,0.06725,0.99925,0.995,0.97325,mean_cover,0
78.9121412803532,0.522184734151505,0.004,0.03025,0.06725,0.999,0.99425,0.97,mean_cover,0
80.884944812362,0.520166273645799,0.004,0.03025,0.06725,0.999,0.994,0.966,mean_cover,0
82.8577483443708,0.517330593662323,0.004,0.0306500000000001,0.0675,0.999,0.9925,0.9615,mean_cover,0
84.8305518763797,0.513084939841988,0.00385000000000002,0.03125,0.06825,0.9985,0.99025,0.953,mean_cover,0
86.8033554083885,0.503042781899237,0.00375,0.03125,0.0685,0.99775,0.9865,0.926,mean_cover,0
88.7761589403973,0.493480592801694,0.0045,0.03175,0.0685,0.996,0.98,0.9135,mean_cover,0
