name,param,min_val,max_val,value,dig
Average forest cover,mean_cover,27.6192494481236,86.8033554083885,61.1569094922737,2
Elevation,elev2,862.46,1965.64,1456.48,4
Max biomass,max_biomass,132.35009765625,2205.8349609375,308.81689453125,3
Min Precipitation,min_tp,-6.83963305199985e-7,0.0152400319741188,0.00571458451322879,-2
% Temperate needleleaf forest,Temperate or sub-polar needleleaf forest,6,96,64,2
Coldest Temperature,coldest,-26.51047148,-8.26575492,-18.82848556,2
Annual Precipitation- lag,sum_tp_lag,0.510859587922994,1.03397364370343,0.735051326114608,0
Min Avg %RH,min_rh,30.4783812099415,47.8159493309824,38.480335727345,2
% Temperate shrubland,Temperate or sub-polar shrubland,8,90,28.000000000000004,2
Mean biomass,mean_biomass,54.409389475276,250.28319158627,141.464412635718,3
Max Avg %RH,max_rh,75.9563541284977,92.1292588228202,82.8875989974931,2
Host trees present,host_trees,1,1,1,1
Min Avg Temp,min_t2m,-7.36192540719208,-0.913472620381206,-3.25836454285789,1
Max Avg %RH- lag,max_rh_lag,77.4269735060301,90.8797482076559,84.153360856843,2
Min Precipitation- lag,min_tp_lag,-2.68220900000006e-7,0.0264876101529119,0.00529730745386239,-2
Min Avg %RH- lag,min_rh_lag,28.3515387012645,52.0401034531613,38.8797897021075,2
Coldest Temperature- lag,coldest_lag,-26.2977020336,-13.2022707728,-19.7499864032,2
Slope,slope,1.7616145324707,33.4706761169434,10.5696871948242,2
Annual Precipitation,sum_tp,0.409395098126607,1.04609073747439,0.692370937836734,0
Predicted hatch,julian,133.510666666667,179.124,160.878666666667,3
Max Avg Temp,max_t2m,17.1113431107613,23.6709571620129,19.8445156321161,2
Season degree days,gdd_season,746.002983374431,1045.68867545351,845.898214067456,3
% Broadleaf deciduous forest,Temperate or sub-polar broadleaf deciduous forest,0,5.70452740270056,0,-Inf
Min Avg Temp- lag,min_t2m_lag,-8.76209545425806,-1.76651874632258,-5.58228785974193,1
Season degree days- lag,gdd_season_lag,735.528961303711,1267.69995117188,836.894864135742,3
Max Precipitation,max_tp,0.0645967630229376,0.277335766478992,0.125379335438953,0
% Temperate grassland,Temperate or sub-polar grassland,0,30,2,1
Max Precipitation- lag,max_tp_lag,0.0229388782764886,0.249703461228012,0.13632116975225,0
Predicted hatch- lag,julian_lag,141.424,187.252,166.884,3
Pseudotsuga genus present,Pseudotsuga_pres,1,1,1,1
