metric,estimate,ci1,ci2,b1,b2,thresh,lag_pr,lag_rh,lag_temp,lag
AUC,0.9804568323108992,0.979168635232306,0.9817450293894928,NA,NA,0.225,0,0,0,0
recall,0.9248261102193688,0.9199458908065624,0.9297063296321748,0.9197973759699734,0.9295598712158748,0.225,0,0,0,0
accuracy,0.9384810418347356,0.9362200264970189,0.9407420571724522,0.9361805153647984,0.940702856994654,0.225,0,0,0,0
precision,0.8502910551775027,0.8439591086395354,0.85662300171547,0.8438474737702316,0.85651100844414,0.225,0,0,0,0
specificity,0.9432408069379254,0.9407123638197322,0.9457692500561188,0.940658420567526,0.9457158960661988,0.225,0,0,0,0
F1,0.8859937636153945,NA,NA,NA,NA,0.225,0,0,0,0
brier,0.04462430286245246,NA,NA,NA,NA,0.225,0,0,0,0
log-likelihood,-6824.218875811491,NA,NA,NA,NA,0.225,0,0,0,0
AUC,0.9761181238213148,0.9746572044836816,0.9775790431589476,NA,NA,0.2,10,10,10,10
recall,0.9332976636347424,0.9286796372717976,0.9379156899976872,0.928527952422624,0.93776652103927,0.2,10,10,10,10
accuracy,0.9216938290956872,0.919165709436957,0.9242219487544172,0.919127766291464,0.9241841868556188,0.2,10,10,10,10
precision,0.7980175371711781,0.7911462994591438,0.8048887748832123,0.7910583742240525,0.8047997570556534,0.2,10,10,10,10
specificity,0.9176485217769764,0.9146443505925228,0.92065269296143,0.9145936525073904,0.9206022758717892,0.2,10,10,10,10
F1,0.8603723950840562,NA,NA,NA,NA,0.2,10,10,10,10
brier,0.04862730291342984,NA,NA,NA,NA,0.2,10,10,10,10
log-likelihood,-7504.399166069268,NA,NA,NA,NA,0.2,10,10,10,10
AUC,0.977533920543432,0.9761317290763908,0.9789361120104728,NA,NA,0.225,1,1,1,1
recall,0.9188514357053684,0.913797393493372,0.9239054779173644,0.91365109637743,0.9237609493480544,0.225,1,1,1,1
