variables,present,absent,MeanDecreaseAccuracy,MeanDecreaseGini,name,category,type,Use,lag
Abies amabilis,12.300463215169508,9.004886394355957,11.086960649205736,41.15749088632057,Pacific silver fir present,tree species,binary,1,35
Abies balsamea,14.752785234381303,9.14818054719723,12.660869893503852,40.37582651158513,Balsam fir present,tree species,binary,1,35
Abies concolor,13.267750672543432,12.422515094344138,13.962427214056541,164.6339324839844,White fir present,tree species,binary,1,35
Abies grandis,12.29524029650372,8.062710576089463,12.745076925962204,365.9989925648969,Grand fir present,tree species,binary,1,35
Abies lasiocarpa,13.218668078458297,9.54971701046942,14.736934921201842,159.2702017243585,Subalpine fir present,tree species,binary,1,35
Abies magnifica,6.867620669359771,5.086591905131564,7.224637182467775,11.59827394674995,Ref fir present,tree species,binary,1,35
Abies procera,2.492729359945841,1.5151209606781213,2.768999332088118,1.7669751141202874,Noble fir present,tree species,binary,1,35
Abies_pres,9.38209813233167,7.0006652666707865,9.812390590358229,369.6306752063261,Abies genus present,tree species,binary,1,35
aspect2,25.298007136165364,6.535301286566756,25.428865556238748,78.38310513263768,Solar aspect (binned),geographic,categorical,1,35
Barren Lands,19.08596198903832,11.918701935214678,20.239805586361623,88.0582749764396,% Barren Lands,land cover type,numeric,1,35
coldest,31.819979197839316,24.350572630653065,35.67806383986436,569.8697378962923,Coldest Temp- avg,climatic variable,numeric,1,35
coldest_lag,30.910433793955665,23.418131937358858,33.81230621420364,506.8182958912408,Coldest Temp- lag,climatic variable- lag,numeric,1,35
Cropland,19.179985084939187,16.94772959751869,21.62517929289175,108.43617165804285,% Cropland,land cover type,numeric,1,35
elev2,47.60645533586901,31.050907111621598,50.69522612675303,887.2358645821791,Elevation,geographic,numeric,1,35
gdd_season,18.717609159575478,17.16701582614086,20.418935225150253,757.0868065438217,Season DD- avg,climatic variable,numeric,1,35
gdd_season_lag,21.26431936174177,16.87688544847143,22.59791493822152,936.1650434167632,Season DD- lag,climatic variable- lag,numeric,1,35
host_trees,20.281837641013247,10.046141759679646,21.029078714139725,2296.8962961467723,Host trees present,tree species,binary,1,35
julian,26.374284482829932,17.092753157368058,28.724724657666375,614.3891733606158,Day of year predicted hatch,climatic variable,numeric,1,35
julian_lag,27.219784486072175,10.785695517919352,27.943477368646775,470.5809667855736,Day of year predicted hatch- lag,climatic variable- lag,numeric,1,35
max_biomass,32.40762419904787,17.382758938235433,34.14020928026681,2207.3546381901856,Max biomass,biomass,numeric,1,35
max_rh,24.880192422276295,21.407987056209937,27.143073532081967,447.6742100961214,Max Mean %RH- avg,climatic variable,numeric,1,35
max_rh_lag,28.44415884373812,22.479250115687577,30.93594870226787,495.94539706790226,Max Mean %RH- lag,climatic variable- lag,numeric,1,35
max_t2m,20.7964910852936,13.080426409725217,21.49623899938071,802.3514818547789,Max Mean Temp- avg,climatic variable,numeric,1,35
max_t2m_lag,20.701011695002144,11.832728915647237,21.341912590677744,677.8548494965058,Max Mean Temp- lag,climatic variable- lag,numeric,1,35
max_tp,22.535892956712363,16.589366042174497,24.587245439691007,404.3616912204457,Max Monthly Precip- avg,climatic variable,numeric,1,35
max_tp_lag,24.95004882390834,19.472187944119767,27.717536841115926,473.4018842267202,Max Monthly Precip- lag,climatic variable- lag,numeric,1,35
mean_biomass,23.733599871994645,12.275178822929883,24.19687486799232,1723.3993355228636,Mean biomass,biomass,numeric,1,35
mean_cover,38.28717763739134,14.66369999143093,37.00238747404389,2375.2388115274266,Average forest cover,tree species,numeric,1,35
min_rh,28.02952338355466,19.317022042313706,30.023447113432344,959.4431686104397,Min Mean %RH- avg,climatic variable,numeric,1,35
min_rh_lag,28.73957280792236,17.562627010601837,31.590584335635864,803.1621972199187,Min Mean %RH- lag,climatic variable- lag,numeric,1,35
min_t2m,29.017762631323713,20.67869665409151,31.55016069158184,643.3430666354557,Min Mean Temp- avg,climatic variable,numeric,1,35
min_t2m_lag,27.479344948860223,20.940357365991062,30.473071846024173,531.55820969598,Min Mean Temp- lag,climatic variable- lag,numeric,1,35
min_tp,30.025864286704966,24.49911568334023,34.095030396610625,747.1243411330223,Min Monthly Precip- avg,climatic variable,numeric,1,35
min_tp_lag,31.77094635761633,20.281311580403226,34.6947424352128,522.7307399963743,Min Monthly Precip- lag,climatic variable- lag,numeric,1,35
Mixed Forest,20.307847706238796,11.15957036271679,20.95157336783441,391.02299529475226,% Mixed Forest,land cover type,numeric,1,35
near_needle,5.952146004593957,3.7110998096053796,6.952000309861425,732.9854938983533,Near needleleaf forest,land cover type,binary,1,35
No data,14.285186963691798,-7.034546472047394,10.652443857777126,20.5344707752423,% No data,land cover type,numeric,1,35
Pseudotsuga_pres,14.333091302786736,7.952142225081081,14.250028985891147,821.5064620733339,Pseudotsuga genus present,tree species,binary,1,35
slope,35.93107348100326,22.41520154407133,36.537040025118365,302.21103999816853,Slope,geographic,numeric,1,35
Snow and Ice,9.771355906433081,5.3411946743047185,10.043865209592848,51.81576906185891,% Snow and Ice,land cover type,numeric,1,35
Sub-polar or polar barren-lichen-moss,0.671675580424018,0.0593472251564256,0.3102436962755444,0.315971301577104,Barren-lichen-moss,land cover type,numeric,1,35
Sub-polar or polar grassland-lichen-moss,3.6879361321111936,1.59268927694764,3.793805300748536,5.550656986181918,Grassland-lichen-moss,land cover type,numeric,1,35
Sub-polar or polar shrubland-lichen-moss,0,0,0,0,Shrubland-lichen-moss,land cover type,numeric,1,35
Sub-polar taiga needleleaf forest,0,0,0,0,% Taiga needleleaf forest,land cover type,numeric,1,35
sum_tp,21.623521858184205,16.025413303960764,24.11556399805386,697.5985750742582,Annual Precip- avg,climatic variable,numeric,1,35
sum_tp_lag,28.129159561143954,18.768612460808868,30.43854608978154,1029.9647122765716,Annual Precip- lag,climatic variable- lag,numeric,1,35
Temperate or sub-polar broadleaf deciduous forest,31.504720374079753,17.19514346820045,32.83632959016458,296.59958946059027,% Broadleaf deciduous forest,land cover type,numeric,1,35
Temperate or sub-polar grassland,28.50604080951849,19.937513151460564,30.826369194175783,206.92281232189993,% Temperate grassland,land cover type,numeric,1,35
Temperate or sub-polar needleleaf forest,28.941004009165198,13.786713468589486,30.255079555442293,1332.7006198183763,% Temperate needleleaf forest,land cover type,numeric,1,35
Temperate or sub-polar shrubland,36.97886351396571,27.70847282939992,40.09710070882041,521.0456179192364,% Temperate shrubland,land cover type,numeric,1,35
Tropical or sub-tropical broadleaf evergreen forest,0,0,0,0,% Broadleaf evergreen forest,land cover type,numeric,1,35
Tropical or sub-tropical grassland,1.0836826954573946,-0.05507837594969826,0.8355409518472704,0.645510555835324,% Tropical grassland,land cover type,numeric,1,35
Tropical or sub-tropical shrubland,3.575981282879268,3.062217823643887,3.8491099844787002,6.725258981398633,% Tropical shrubland,land cover type,numeric,1,35
Urban and Built-up,19.99549589207644,14.182171638153157,21.889702404473248,114.85107874300846,% Urban and Built-up,land cover type,numeric,1,35
Water,23.309663267032573,13.615391507311744,24.485243794854153,92.82617300409504,% Water,land cover type,numeric,1,35
Wetland,14.093747227216499,8.3246297070732,15.153293200691198,61.28869046943323,% Wetland,land cover type,numeric,1,35
Abies amabilis,12.066429196664012,9.56276458060987,12.48710136822291,55.19476612971297,Pacific silver fir present,tree species,binary,1,0
Abies balsamea,15.815442536927536,9.459617741726115,13.97762167875231,48.9751216047302,Balsam fir present,tree species,binary,1,0
Abies concolor,15.746447953042933,12.515216682481451,16.428271754366804,199.79341404122897,White fir present,tree species,binary,1,0
Abies grandis,15.472166689666807,9.668914936272536,15.858623403499763,476.80049603728764,Grand fir present,tree species,binary,1,0
Abies lasiocarpa,15.436007431182103,11.29894690622144,17.03826896126739,190.8289328342726,Subalpine fir present,tree species,binary,1,0
Abies magnifica,8.243963435599117,7.346860589557027,8.73576902571943,16.626376114216562,Ref fir present,tree species,binary,1,0
Abies procera,3.911786124327329,2.0391768285333827,4.240498345928833,3.14633378759512,Noble fir present,tree species,binary,1,0
Abies_pres,10.689770372020444,6.559572429042943,10.61568167945479,326.22874155899615,Abies genus present,tree species,binary,1,0
aspect2,31.02333618105787,11.077719987415254,31.465246059246414,123.59027604427462,Solar aspect (binned),geographic,categorical,1,0
Barren Lands,20.527218424040218,12.869316817246359,21.59732463619018,110.06417720593838,% Barren Lands,land cover type,numeric,1,0
coldest,40.94949237879804,29.4755565527126,45.04212100974793,885.1234771018243,Coldest Temp- avg,climatic variable,numeric,1,0
Cropland,21.7794438549428,21.864980432016306,24.841041174477176,169.92856746152833,% Cropland,land cover type,numeric,1,0
elev2,54.01644031932226,35.86073263563083,57.53827351579026,1082.1061047436237,Elevation,geographic,numeric,1,0
gdd_season,25.379174650536847,22.843559328746753,27.788838519197885,1222.1124693324996,Season DD- avg,climatic variable,numeric,1,0
host_trees,22.212760797402844,9.856796108632794,22.700434229330412,2558.5890259080497,Host trees present,tree species,binary,1,0
