clust,lat,lon,manual_id,PlotName,years_trapped,max_trap,ID,X,Y,dist_cent
1,47.07513,-116.87833,2209,1 Mi N. of Mineral Mtn (11-216),25,82.8,1,-116.90262370050625,47.068903126869905,1970.7793808386098
1,47.115284,-116.969199,2274,1 Mi S. of Iron Mtn,24,87.8,2,-116.90262370050625,47.068903126869905,7220.643519634799
1,47.10548,-116.91985,2296,West Fork Mission Creek 723,24,87.4,1673,-116.90262370050625,47.068903126869905,4271.545008906636
1,47.0727,-116.88829,2232,1 mi NW of Mineral Mtn,40,93,4,-116.90262370050625,47.068903126869905,1167.6865270069893
1,47.02598,-116.89099,2255,3 mi S of Mineral Mtn 512,37,70.8,45,-116.90262370050625,47.068903126869905,4853.0364765976365
1,47.017845,-116.840948,2294,Prospect Peak 1,24,85.6,1259,-116.90262370050625,47.068903126869905,7361.216110070291
1,47.06743,-116.94387,2234,Mission Mountain (#2),39,71.2,1057,-116.90262370050625,47.068903126869905,3137.3138103096635
1,47.07976,-116.91443,2233,Head of Sheep Creek (216-117-2),27,101.8,736,-116.90262370050625,47.068903126869905,1503.618585594105
1,47.06303,-116.89665,2237,Middle Fork of Deep Creek 2 (301-216-3),27,99.6,1045,-116.90262370050625,47.068903126869905,795.1275880405278
1,47.05068,-116.88861,2235,1.5 mi S of Mineral Mtn,39,107.6,10,-116.90262370050625,47.068903126869905,2288.6082826804604
1,47.0678,-116.8178,2302,South of Sanders,24,86.8,1425,-116.90262370050625,47.068903126869905,6444.285923377128
1,47.10274,-116.97368,2208,West Fork Mission Creek 118,42,64.2,1672,-116.90262370050625,47.068903126869905,6577.4682229052705
1,47.03738,-116.92448,2224,West Fork Deep Creek,41,91.2,1670,-116.90262370050625,47.068903126869905,3878.039096771185
1,47.12144,-116.96898,2275,Iron Mtn,18,97,808,-116.90262370050625,47.068903126869905,7713.17442141143
1,47.08141,-116.96793,2297,Huckleberry Mtn,24,77.2,783,-116.90262370050625,47.068903126869905,5151.167674693698
1,47.04186,-116.80963,2206,Crane Point,42,89,464,-116.90262370050625,47.068903126869905,7678.461366297883
1,47.05971,-116.89506,2236,Middle Fork of Deep Creek 1 (301-216-1),27,89.8,1044,-116.90262370050625,47.068903126869905,1172.4584116655797
1,47.07309,-116.93699,2207,Sheep Creek IDL,42,83.2,1365,-116.90262370050625,47.068903126869905,2651.4744751221274
1,47.0603,-116.87325,2175,Mineral Mountain,47,85,1055,-116.90262370050625,47.068903126869905,2427.691342631477
1,47.13047,-117.00555,2298,North Fork Pine Creek,24,93,1116,-116.90262370050625,47.068903126869905,10387.500936382843
1,47.06124,-116.95197,2176,Mission Mountain,47,66.4,1056,-116.90262370050625,47.068903126869905,3844.1126680999496
1,47.04348,-116.86864,2244,3 mi W of Crane Point,37,75,48,-116.90262370050625,47.068903126869905,3828.141825024802
1,47.05933,-116.82409,2293,Smith Creek,24,100.2,1410,-116.90262370050625,47.068903126869905,6059.995331522797
1,47.078646,-116.878764,2299,Mineral Creek 1,23,78,1054,-116.90262370050625,47.068903126869905,2111.198976094975
1,47.030064,-116.838108,2238,3 mi S of Mineral Mtn 400,38,108.6,44,-116.90262370050625,47.068903126869905,6532.67313180007
2,46.90723,-116.677126,2279,Ruby Creek,17,47.2,1323,-116.73051791173857,46.84416623771164,8106.557767702314
2,46.87772,-116.72018,2243,2 mi S of Moon Hill,20,97.6,26,-116.73051791173857,46.84416623771164,3812.4960655185528
2,46.7938,-116.66375,2272,West Fork Big Bear Creek,24,61,1669,-116.73051791173857,46.84416623771164,7570.402882221254
2,46.82983,-116.6799,2252,2 mi NW of Stanford Point,37,95.6,25,-116.73051791173857,46.84416623771164,4177.445886183507
2,46.84084,-116.78215,2291,Basalt Hill,24,92.8,142,-116.73051791173857,46.84416623771164,3955.7747584602175
2,46.80931,-116.754694,2271,Bergs Creek,11,12.4,175,-116.73051791173857,46.84416623771164,4291.562135762073
2,46.88526,-116.74075,2254,2 mi SE of Moon Hill,37,80.4,28,-116.73051791173857,46.84416623771164,4634.459597329445
2,46.82465,-116.66735,2250,1 mi NE of Stanford Point,37,97.4,3,-116.73051791173857,46.84416623771164,5284.976893345481
2,46.85214,-116.73214,2172,Flat Creek,47,90,603,-116.73051791173857,46.84416623771164,895.0183135391372
2,46.83728,-116.65518,2257,1.5 mi NW of Avon,37,68.6,9,-116.73051791173857,46.84416623771164,5797.668032737817
2,46.84174,-116.6951,2273,2 Mi NW of Stanford PT,23,89.4,23,-116.73051791173857,46.84416623771164,2715.057973539139
2,46.82698,-116.69386,2251,1 mi W of Stanford Point,37,97.8,8,-116.73051791173857,46.84416623771164,3386.9104091324416
2,46.87515,-116.70816,2256,2 mi SW of Moon Hill,37,75.8,29,-116.73051791173857,46.84416623771164,3843.2563817560385
