clust_n,max_trap,sum_trap,num_y,max_year,ob,break_end,clust_lon,clust_lat
1,94,331,9,1985,breaks1,1988,-116.90262370050624,47.068903126869905
1,5,11,9,1997,breaks2,1997,-116.90262370050624,47.068903126869905
1,108.6,462.79999999999995,9,2000,breaks3,2006,-116.90262370050624,47.068903126869905
1,83.2,274.79999999999995,9,2011,breaks4,2015,-116.90262370050624,47.068903126869905
1,26.25,87.45,8,2019,breaks5,2024,-116.90262370050624,47.068903126869905
2,90,290,9,1985,breaks1,1987,-116.73051791173856,46.84416623771164
2,18,22,9,1996,breaks2,1996,-116.73051791173856,46.84416623771164
2,112,481.79999999999995,9,2000,breaks3,2005,-116.73051791173856,46.84416623771164
2,55.8,163.99999999999997,9,2011,breaks4,2014,-116.73051791173856,46.84416623771164
2,28.2,87.333333,9,2021,breaks5,2023,-116.73051791173856,46.84416623771164
3,44,71,5,1985,breaks1,1987,-116.9929383918686,47.29018607598787
3,0,0,9,1988,breaks2,1996,-116.9929383918686,47.29018607598787
3,91.4,160.5,9,2001,breaks3,2005,-116.9929383918686,47.29018607598787
3,115.4,295.7,9,2011,breaks4,2014,-116.9929383918686,47.29018607598787
3,44.4,164.4,9,2021,breaks5,2023,-116.9929383918686,47.29018607598787
4,38.2,155.5,8,2006,breaks3,2008,-106.41006845060116,35.21076434566647
4,44.6,252,9,2015,breaks4,2017,-106.41006845060116,35.21076434566647
6,49.3,105,6,2001,breaks3,2004,-120.18667770498608,49.39073566065088
6,40.2,129.70000000000002,9,2008,breaks4,2013,-120.18667770498608,49.39073566065088
6,33.7,102.4,9,2018,breaks5,2022,-120.18667770498608,49.39073566065088
7,46.7,94.4,6,2001,breaks3,2004,-119.98188819481602,49.26311653353566
7,43.3,106.30000000000001,9,2008,breaks4,2013,-119.98188819481602,49.26311653353566
7,40.4,151.78333333333333,9,2018,breaks5,2022,-119.98188819481602,49.26311653353566
8,0.8,0.8,1,1986,breaks1,1986,-117.80002,48.40357
8,3.2,12.399999999999999,8,1991,breaks2,1995,-117.80002,48.40357
8,5.4,14,9,1999,breaks3,2004,-117.80002,48.40357
8,1.4,2.8,7,2011,breaks4,2013,-117.80002,48.40357
8,1.2,3.45,8,2021,breaks5,2022,-117.80002,48.40357
9,18.2,33.4,4,1983,breaks1,1984,-118.78716567591334,48.3974311192354
9,4.6,20.599999999999998,9,1992,breaks2,1993,-118.78716567591334,48.3974311192354
9,55.4,163.70000000000005,9,1998,breaks3,2002,-118.78716567591334,48.3974311192354
9,7.6,18.6,9,2006,breaks4,2011,-118.78716567591334,48.3974311192354
9,45,103.24999999999999,9,2015,breaks5,2020,-118.78716567591334,48.3974311192354
10,5,5.2,4,1983,breaks1,1986,-119.74755907410844,48.886713800145174
10,0.4,1.9999999999999998,9,1987,breaks2,1995,-119.74755907410844,48.886713800145174
10,20,59.30000000000001,9,1999,breaks3,2004,-119.74755907410844,48.886713800145174
10,53.8,106.39999999999998,9,2008,breaks4,2013,-119.74755907410844,48.886713800145174
10,27.8,102.25,9,2016,breaks5,2022,-119.74755907410844,48.886713800145174
11,0,0,6,1981,breaks1,1986,-121.03850918010112,46.90901097716707
11,0.4,0.8,9,1989,breaks2,1995,-121.03850918010112,46.90901097716707
11,6,9.600000000000001,9,2000,breaks3,2004,-121.03850918010112,46.90901097716707
11,1.8,3.2000000000000006,9,2006,breaks4,2013,-121.03850918010112,46.90901097716707
11,1.5,4.500000000000001,9,2016,breaks5,2022,-121.03850918010112,46.90901097716707
12,15.4,16.6,7,2000,breaks3,2005,-116.60431061636008,47.58255801671896
12,12.8,20.45,8,2011,breaks4,2014,-116.60431061636008,47.58255801671896
12,2.8,8.399999999999999,9,2021,breaks5,2023,-116.60431061636008,47.58255801671896
13,71.2,93.80000000000001,5,2001,breaks3,2005,-116.37667448353568,47.19141242766027
13,37.8,43.599999999999994,9,2011,breaks4,2014,-116.37667448353568,47.19141242766027
