lat_coord,lon_coord,clust_n,max_trap,sum_trap,num_y,max_year,ob,year_ob,clust_lon,clust_lat,mean_cover,max_cover,Cropland,Temperate or sub-polar grassland,Temperate or sub-polar needleleaf forest,Temperate or sub-polar shrubland,Water,Urban and Built-up,Wetland,Barren Lands,Tropical or sub-tropical shrubland,Temperate or sub-polar broadleaf deciduous forest,Mixed Forest,Snow and Ice,Sub-polar taiga needleleaf forest,Sub-polar or polar grassland-lichen-moss,No data,Tropical or sub-tropical grassland,Tropical or sub-tropical broadleaf evergreen forest,Sub-polar or polar barren-lichen-moss,near_needle,Angiosperms,Gymnospermae,Abies,Acer,Alnus,Arbutus,Betula,Callitropsis,Celtis,Cercocarpus,Chamaecyparis,Chrysolepis,Fraxinus,Hesperocyparis,Juniperus,Larix,Notholithocarpus,Picea,Pinus,Populus,Prosopis,Pseudotsuga,Quercus,Robinia,Sequoiadendron,Thuja,Tsuga,Ulmus,Umbellularia,elev2
32.5,-110.75,372,0,0,1,1998,breaks2,1998,-110.755714,32.427858,89.85865004294743,159.04238891601562,0,0.01671974522292993,0.5230891719745223,0.427547770700637,0,0,0,0,0.03264331210191083,0,0,0,0,0,0,0,0,0,1,0.05882352941176471,0.9411764705882352,0.1568627450980392,0,0,0,0,0,0,0,0,0,0,0,0.05882352941176471,0,0,0,0.05882352941176471,0,0,0.6666666666666666,0.05882352941176471,0,0,0,0,0,0,2307
32.5,-110.75,372,0,0,1,2017,breaks5,2025,-110.755714,32.427858,89.85865004294743,159.04238891601562,0,0.01671974522292993,0.5230891719745223,0.427547770700637,0,0,0,0,0.03264331210191083,0,0,0,0,0,0,0,0,0,1,0.05882352941176471,0.9411764705882352,0.1568627450980392,0,0,0,0,0,0,0,0,0,0,0,0.05882352941176471,0,0,0,0.05882352941176471,0,0,0.6666666666666666,0.05882352941176471,0,0,0,0,0,0,2307
32.5,-110.75,372,1.2,1.7999999999999998,4,1999,breaks3,2007,-110.755714,32.427858,89.85865004294743,159.04238891601562,0,0.01671974522292993,0.5230891719745223,0.427547770700637,0,0,0,0,0.03264331210191083,0,0,0,0,0,0,0,0,0,1,0.05882352941176471,0.9411764705882352,0.1568627450980392,0,0,0,0,0,0,0,0,0,0,0,0.05882352941176471,0,0,0,0.05882352941176471,0,0,0.6666666666666666,0.05882352941176471,0,0,0,0,0,0,2307
32.5,-110.75,372,9.6,26.97,6,2012,breaks4,2016,-110.755714,32.427858,89.85865004294743,159.04238891601562,0,0.01671974522292993,0.5230891719745223,0.427547770700637,0,0,0,0,0.03264331210191083,0,0,0,0,0,0,0,0,0,1,0.05882352941176471,0.9411764705882352,0.1568627450980392,0,0,0,0,0,0,0,0,0,0,0,0.05882352941176471,0,0,0,0.05882352941176471,0,0,0.6666666666666666,0.05882352941176471,0,0,0,0,0,0,2307
32.75,-105.5,32,5,6,4,2013,breaks4,2017,-105.6199158826052,32.69698581904347,61.759121786952136,119.5974349975586,0,0.02016824729133389,0.8611969478608187,0.1186348048478474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15217391304347822,0.8478260869565217,0.15570672713529854,0,0,0,0,0,0,0,0,0,0,0,0.02898550724637681,0,0,0,0.02898550724637681,0,0,0.6341483453284695,0.03623188405797101,0.11594202898550723,0,0,0,0,0,2500
32.75,-105.75,54,0,0,1,2017,breaks5,2025,-105.7636503429949,32.81688754395481,121.85065910517945,171.89256540934244,0,0,0.997740669432848,0.00677799170145573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00641025641025641,0.9935897435897436,0.49207640748607134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0.5015133361036723,0,0,0,0,0,0,0,2735.8333333333335
32.75,-105.75,54,12.8,17.200000000000003,8,2006,breaks3,2007,-105.7636503429949,32.81688754395481,121.85065910517945,171.89256540934244,0,0,0.997740669432848,0.00677799170145573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00641025641025641,0.9935897435897436,0.49207640748607134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0.5015133361036723,0,0,0,0,0,0,0,2735.8333333333335
32.75,-105.75,54,6,9.9,9,2010,breaks4,2016,-105.7636503429949,32.81688754395481,121.85065910517945,171.89256540934244,0,0,0.997740669432848,0.00677799170145573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00641025641025641,0.9935897435897436,0.49207640748607134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0.5015133361036723,0,0,0,0,0,0,0,2735.8333333333335
32.75,-109.75,242,0,0,2,1998,breaks2,1999,-109.869444,32.665,115.5821112286914,193.38705444335935,0,0,0.7758346581875993,0.1915739268680445,0,0,0,0,0.03259141494435612,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2807
32.75,-109.75,242,2.6,3.2,6,2001,breaks3,2008,-109.869444,32.665,115.5821112286914,193.38705444335935,0,0,0.7758346581875993,0.1915739268680445,0,0,0,0,0.03259141494435612,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2807
32.75,-109.75,242,4.8,6.8,5,2012,breaks4,2017,-109.869444,32.665,115.5821112286914,193.38705444335935,0,0,0.7758346581875993,0.1915739268680445,0,0,0,0,0.03259141494435612,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2807
32.75,-110,458,0.6,0.6,1,2017,breaks5,2025,-110.046944,32.75166000000001,72.5080604911114,161.91842651367188,0,0.00556881463802704,0.5322195704057279,0.30708035003977724,0,0,0,0,0.15513126491646778,0,0,0,0,0,0,0,0,0,1,0.0196078431372549,0.9803921568627452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27450980392156865,0,0,0.7058823529411765,0.0196078431372549,0,0,0,0,0,0,2090
32.75,-110,458,15,25.999999999999996,4,1995,breaks2,1998,-110.046944,32.75166000000001,72.5080604911114,161.91842651367188,0,0.00556881463802704,0.5322195704057279,0.30708035003977724,0,0,0,0,0.15513126491646778,0,0,0,0,0,0,0,0,0,1,0.0196078431372549,0.9803921568627452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27450980392156865,0,0,0.7058823529411765,0.0196078431372549,0,0,0,0,0,0,2090
32.75,-110,458,32,118,7,2000,breaks3,2007,-110.046944,32.75166000000001,72.5080604911114,161.91842651367188,0,0.00556881463802704,0.5322195704057279,0.30708035003977724,0,0,0,0,0.15513126491646778,0,0,0,0,0,0,0,0,0,1,0.0196078431372549,0.9803921568627452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27450980392156865,0,0,0.7058823529411765,0.0196078431372549,0,0,0,0,0,0,2090
32.75,-110,458,49,92.4,6,2012,breaks4,2016,-110.046944,32.75166000000001,72.5080604911114,161.91842651367188,0,0.00556881463802704,0.5322195704057279,0.30708035003977724,0,0,0,0,0.15513126491646778,0,0,0,0,0,0,0,0,0,1,0.0196078431372549,0.9803921568627452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27450980392156865,0,0,0.7058823529411765,0.0196078431372549,0,0,0,0,0,0,2090
33,-105.75,53,0.2,0.2,1,2017,breaks5,2025,-105.71721618296192,32.96069666254658,109.32267710166693,152.38565826416016,0,0,0.994524399804446,0.00547560019555398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00245098039215686,0.9975490196078431,0.600105580693816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245098039215686,0,0.3974434389140272,0,0,0,0,0,0,0,2677.875
33,-105.75,53,2,3.1300000000000003,9,2012,breaks4,2016,-105.71721618296192,32.96069666254658,109.32267710166693,152.38565826416016,0,0,0.994524399804446,0.00547560019555398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00245098039215686,0.9975490196078431,0.600105580693816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245098039215686,0,0.3974434389140272,0,0,0,0,0,0,0,2677.875
33,-105.75,53,6,8.200000000000001,8,2000,breaks3,2007,-105.71721618296192,32.96069666254658,109.32267710166693,152.38565826416016,0,0,0.994524399804446,0.00547560019555398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00245098039215686,0.9975490196078431,0.600105580693816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245098039215686,0,0.3974434389140272,0,0,0,0,0,0,0,2677.875
33.25,-110.75,332,10.6,20.6,3,2014,breaks5,2022,-110.8296609668866,33.28988050380617,78.4306504978781,165.2776641845703,0,0,0.5429322678582094,0.4554734590705814,0,0,0,0,0.00159427307120916,0,0,0,0,0,0,0,0,0,1,0.9215686274509804,0.0784313725490196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.9215686274509804,0,0,0,0,0,0,2310.5
