State,clust_n,breaks
AZ,60,breaks1
AZ,60,breaks2
AZ,60,breaks3
AZ,60,breaks4
AZ,60,breaks5
AZ,71,breaks1
AZ,71,breaks2
AZ,71,breaks3
AZ,71,breaks4
AZ,71,breaks5
AZ,94,breaks1
AZ,94,breaks2
AZ,94,breaks3
AZ,94,breaks4
AZ,94,breaks5
AZ,245,breaks1
AZ,245,breaks2
AZ,245,breaks3
AZ,245,breaks4
AZ,245,breaks5
AZ,306,breaks1
AZ,306,breaks2
AZ,306,breaks3
AZ,306,breaks4
AZ,306,breaks5
AZ,336,breaks1
AZ,336,breaks2
AZ,336,breaks3
AZ,336,breaks4
AZ,336,breaks5
AZ,377,breaks1
AZ,377,breaks2
AZ,377,breaks3
AZ,377,breaks4
AZ,377,breaks5
AZ,391,breaks1
AZ,391,breaks2
AZ,391,breaks3
AZ,391,breaks4
AZ,391,breaks5
AZ,400,breaks1
AZ,400,breaks2
AZ,400,breaks3
AZ,400,breaks4
AZ,400,breaks5
AZ,436,breaks1
AZ,436,breaks2
AZ,436,breaks3
AZ,436,breaks4
AZ,436,breaks5
AZ,466,breaks1
AZ,466,breaks2
AZ,466,breaks3
AZ,466,breaks4
AZ,466,breaks5
BC,6,breaks1
BC,6,breaks2
BC,6,breaks3
BC,6,breaks4
BC,6,breaks5
BC,7,breaks1
BC,7,breaks2
BC,7,breaks3
BC,7,breaks4
BC,7,breaks5
BC,39,breaks1
BC,39,breaks2
BC,39,breaks3
BC,39,breaks4
BC,39,breaks5
BC,85,breaks1
BC,85,breaks2
BC,85,breaks3
BC,85,breaks4
BC,85,breaks5
BC,88,breaks1
BC,88,breaks2
BC,88,breaks3
BC,88,breaks4
BC,88,breaks5
BC,113,breaks1
BC,113,breaks2
BC,113,breaks3
BC,113,breaks4
BC,113,breaks5
BC,138,breaks1
BC,138,breaks2
BC,138,breaks3
BC,138,breaks4
BC,138,breaks5
BC,149,breaks1
BC,149,breaks2
BC,149,breaks3
BC,149,breaks4
BC,149,breaks5
BC,150,breaks1
BC,150,breaks2
BC,150,breaks3
BC,150,breaks4
BC,150,breaks5
BC,162,breaks1
BC,162,breaks2
BC,162,breaks3
BC,162,breaks4
BC,162,breaks5
BC,178,breaks1
BC,178,breaks2
BC,178,breaks3
BC,178,breaks4
BC,178,breaks5
BC,191,breaks1
BC,191,breaks2
BC,191,breaks3
BC,191,breaks4
BC,191,breaks5
BC,200,breaks1
BC,200,breaks2
BC,200,breaks3
BC,200,breaks4
BC,200,breaks5
BC,207,breaks1
BC,207,breaks2
BC,207,breaks3
BC,207,breaks4
BC,207,breaks5
BC,209,breaks1
BC,209,breaks2
BC,209,breaks3
BC,209,breaks4
BC,209,breaks5
BC,233,breaks1
BC,233,breaks2
BC,233,breaks3
BC,233,breaks4
BC,233,breaks5
BC,264,breaks1
BC,264,breaks2
BC,264,breaks3
BC,264,breaks4
BC,264,breaks5
BC,271,breaks1
