State,breaks,break_end,keep,clust_n
AZ,breaks1,1991,no,60
AZ,breaks2,2000,yes,60
AZ,breaks3,2009,no,60
AZ,breaks4,2018,no,60
AZ,breaks5,2027,no,60
AZ,breaks1,1990,no,71
AZ,breaks2,1999,yes,71
AZ,breaks3,2008,yes,71
AZ,breaks4,2017,yes,71
AZ,breaks5,2026,no,71
AZ,breaks1,1991,no,94
AZ,breaks2,2000,no,94
AZ,breaks3,2009,no,94
AZ,breaks4,2018,yes,94
AZ,breaks5,2027,no,94
AZ,breaks1,1990,no,245
AZ,breaks2,1999,NA,245
AZ,breaks3,2008,yes,245
AZ,breaks4,2017,yes,245
AZ,breaks5,2026,no,245
AZ,breaks1,NA,no,306
AZ,breaks2,NA,no,306
AZ,breaks3,NA,no,306
AZ,breaks4,NA,no,306
AZ,breaks5,NA,no,306
AZ,breaks1,1986,no,336
AZ,breaks2,1995,yes,336
AZ,breaks3,2004,yes,336
AZ,breaks4,2013,no,336
AZ,breaks5,2022,no,336
AZ,breaks1,1989,no,377
AZ,breaks2,1998,no,377
AZ,breaks3,2007,no,377
AZ,breaks4,2016,yes,377
AZ,breaks5,2025,no,377
AZ,breaks1,1986,no,391
AZ,breaks2,1995,no,391
AZ,breaks3,2004,no,391
AZ,breaks4,2013,no,391
AZ,breaks5,2022,yes,391
AZ,breaks1,NA,no,400
AZ,breaks2,NA,no,400
AZ,breaks3,NA,no,400
AZ,breaks4,NA,no,400
AZ,breaks5,NA,no,400
AZ,breaks1,1982,no,436
AZ,breaks2,1991,no,436
AZ,breaks3,2000,no,436
AZ,breaks4,2009,no,436
AZ,breaks5,2018,yes,436
AZ,breaks1,1989,no,466
AZ,breaks2,1998,no,466
AZ,breaks3,2007,yes,466
AZ,breaks4,2016,yes,466
AZ,breaks5,2025,no,466
BC,breaks1,1986,no,6
BC,breaks2,1995,no,6
BC,breaks3,2004,yes,6
BC,breaks4,2013,yes,6
BC,breaks5,2022,yes,6
BC,breaks1,1986,no,7
BC,breaks2,1995,no,7
BC,breaks3,2004,yes,7
BC,breaks4,2013,yes,7
BC,breaks5,2022,yes,7
BC,breaks1,1986,no,39
BC,breaks2,1995,no,39
BC,breaks3,2004,yes,39
BC,breaks4,2013,yes,39
BC,breaks5,2022,yes,39
BC,breaks1,1986,no,85
BC,breaks2,1995,no,85
BC,breaks3,2004,yes,85
BC,breaks4,2013,yes,85
BC,breaks5,2022,yes,85
BC,breaks1,1986,no,88
BC,breaks2,1995,no,88
BC,breaks3,2004,yes,88
BC,breaks4,2013,yes,88
BC,breaks5,2022,yes,88
BC,breaks1,1986,no,113
BC,breaks2,1995,no,113
BC,breaks3,2004,no,113
BC,breaks4,2013,yes,113
BC,breaks5,2022,yes,113
BC,breaks1,1984,no,138
BC,breaks2,1993,no,138
BC,breaks3,2002,no,138
BC,breaks4,2011,yes,138
BC,breaks5,2020,yes,138
BC,breaks1,1988,no,149
BC,breaks2,1997,no,149
BC,breaks3,2006,no,149
BC,breaks4,2015,yes,149
BC,breaks5,2024,no,149
BC,breaks1,NA,no,150
BC,breaks2,NA,no,150
BC,breaks3,NA,no,150
BC,breaks4,NA,no,150
BC,breaks5,NA,no,150
BC,breaks1,1988,no,162
BC,breaks2,1997,no,162
BC,breaks3,2006,yes,162
BC,breaks4,2015,no,162
BC,breaks5,2024,yes,162
BC,breaks1,1986,no,178
BC,breaks2,1995,no,178
BC,breaks3,2004,no,178
BC,breaks4,2013,yes,178
BC,breaks5,2022,yes,178
BC,breaks1,1986,no,191
BC,breaks2,1995,no,191
BC,breaks3,2004,yes,191
BC,breaks4,2013,yes,191
BC,breaks5,2022,no,191
BC,breaks1,NA,no,200
BC,breaks2,NA,no,200
BC,breaks3,NA,no,200
BC,breaks4,NA,no,200
BC,breaks5,NA,no,200
BC,breaks1,1988,no,207
BC,breaks2,1997,no,207
BC,breaks3,2006,yes,207
BC,breaks4,2015,yes,207
BC,breaks5,2024,yes,207
BC,breaks1,1988,no,209
BC,breaks2,1997,no,209
BC,breaks3,2006,yes,209
BC,breaks4,2015,yes,209
BC,breaks5,2024,no,209
BC,breaks1,1988,no,233
BC,breaks2,1997,no,233
BC,breaks3,2006,no,233
BC,breaks4,2015,yes,233
BC,breaks5,2024,no,233
BC,breaks1,1986,no,264
BC,breaks2,1995,no,264
BC,breaks3,2004,no,264
BC,breaks4,2013,yes,264
BC,breaks5,2022,yes,264
BC,breaks1,1986,no,271
BC,breaks2,1995,no,271
BC,breaks3,2004,no,271
BC,breaks4,2013,no,271
BC,breaks5,2022,yes,271
BC,breaks1,1986,no,284
BC,breaks2,1995,no,284
BC,breaks3,2004,no,284
BC,breaks4,2013,yes,284
BC,breaks5,2022,yes,284
BC,breaks1,1988,no,301
BC,breaks2,1997,no,301
BC,breaks3,2006,no,301
BC,breaks4,2015,yes,301
BC,breaks5,2024,yes,301
BC,breaks1,1986,no,316
BC,breaks2,1995,no,316
BC,breaks3,2004,yes,316
BC,breaks4,2013,yes,316
BC,breaks5,2022,yes,316
BC,breaks1,1986,no,319
BC,breaks2,1995,no,319
BC,breaks3,2004,yes,319
BC,breaks4,2013,yes,319
BC,breaks5,2022,yes,319
BC,breaks1,1988,no,323
BC,breaks2,1997,no,323
BC,breaks3,2006,yes,323
BC,breaks4,2015,yes,323
BC,breaks5,2024,yes,323
BC,breaks1,1988,no,324
BC,breaks2,1997,no,324
BC,breaks3,2006,yes,324
BC,breaks4,2015,yes,324
BC,breaks5,2024,yes,324
BC,breaks1,NA,no,334
BC,breaks2,NA,no,334
BC,breaks3,NA,no,334
BC,breaks4,NA,no,334
BC,breaks5,NA,no,334
BC,breaks1,1986,no,340
BC,breaks2,1995,no,340
BC,breaks3,2004,yes,340
BC,breaks4,2013,yes,340
BC,breaks5,2022,yes,340
BC,breaks1,1986,no,350
BC,breaks2,1995,no,350
BC,breaks3,2004,no,350
BC,breaks4,2013,yes,350
BC,breaks5,2022,yes,350
BC,breaks1,1986,no,351
BC,breaks2,1995,no,351
BC,breaks3,2004,yes,351
BC,breaks4,2013,yes,351
BC,breaks5,2022,yes,351
BC,breaks1,1986,no,352
BC,breaks2,1995,no,352
BC,breaks3,2004,yes,352
BC,breaks4,2013,yes,352
BC,breaks5,2022,yes,352
