PlotName,State,manual_id,lat,lon,years_trapped,max_trap
1 Mi N. of Mineral Mtn (11-216),ID,2209,47.07513,-116.87833,25,82.8
1 Mi S. of Iron Mtn,ID,2274,47.115284,-116.969199,24,87.8
1 mi NE of Stanford Point,ID,2250,46.82465,-116.66735,37,97.4
1 mi NW of Mineral Mtn,ID,2232,47.0727,-116.88829,40,93
1 mi S of Stanford Point,ID,2249,46.8086,-116.67886,37,89.4
1 mi SW of Moctileme Butte,ID,2305,47.256923,-116.925154,17,21.4
1 mi SW of Stanford Point 1,ID,2247,46.8085,-116.6905,37,90
1 mi W of Stanford Point,ID,2251,46.82698,-116.69386,37,97.8
1.5 mi NW of Avon,ID,2257,46.83728,-116.65518,37,68.6
1.5 mi S of Mineral Mtn,ID,2235,47.05068,-116.88861,39,107.6
1.9 mi S of Plummer,ID,2307,47.308351,-116.894425,17,80
10K trailhead,NM,548,35.21021,-106.434191,1,0
10_Mile,WA,1565,48.20015,-120.75899,2,0
11.8 km Old Hedley Rd,BC,4042,49.42575784000001,-120.2633399,14,3.8
12.7 km Ashnola River Road,BC,4034,49.21460311,-119.9312806,4,0.2
12_Mile_Monahan,WA,880,48.40357,-117.80002,35,5.4
13 Mile,WA,1717,48.4189,-118.7304,1,0.2
14_Mile,WA,315,48.90667,-119.83167,37,2.2
161,WA,1669,46.87735,-121.08753,2,0
1706-F,WA,1667,46.93313,-121.12167,2,0
1732_C,WA,1671,46.90519,-121.16915,2,0
1Mi._Nw_Elk_Mtn.,ID,2259,47.607419,-116.621109,2,8.4
2 Mi NW of Stanford PT,ID,2273,46.84174,-116.6951,23,89.4
2 mi N of Stanford Point,ID,2246,46.84473,-116.66824,37,86.2
2 mi NW of Stanford Point,ID,2252,46.82983,-116.6799,37,95.6
2 mi S of Moon Hill,ID,2243,46.87772,-116.72018,20,97.6
2 mi SE of Browns Mdw,ID,2240,46.82744,-116.7392,38,112
2 mi SE of Moon Hill,ID,2254,46.88526,-116.74075,37,80.4
2 mi SW of Moon Hill,ID,2256,46.87515,-116.70816,37,75.8
2 mi W of Pettis Point,ID,2313,47.239033,-116.45255,17,36.6
2 mi W of Plummer,ID,2210,47.34476,-116.94089,41,80.2
203_Rd_4Way_W,WA,1314,45.89095,-121.14449,2,20.4
20_Day,WA,662,46.2802,-121.11538,43,6.4
21 Mile,WA,1715,48.4106,-118.7324,1,0
2850_Road,OR,159,43.78186,-118.78733,40,99.8
2N10,CA,1451,34.421681,-116.95786,1,0
2N10-Mtn Bike 1,CA,1452,34.2212,-116.87334,1,0.3
2N10-Mtn Bike 2,CA,1453,34.22058,-116.87397,1,0.3
2N10-Mtn Bike 3,CA,1454,34.22071,-116.87581,1,0
3 Mi S. of Potlatch,ID,2283,46.87631,-116.90922,24,47.8
3 mi E of Benewah,ID,2212,47.24125,-116.70265,35,102.2
3 mi E of Charles Butte,ID,2216,47.13502,-116.68046,41,73
3 mi N of Stanford Point,ID,2245,46.85963,-116.68806,37,89.4
3 mi S of Chatcolet,ID,2262,47.333974,-116.773949,17,4.4
3 mi S of Mineral Mtn 400,ID,2238,47.030064,-116.838108,38,108.6
3 mi S of Mineral Mtn 512,ID,2255,47.02598,-116.89099,37,70.8
3 mi S of Moon Hill,ID,2242,46.864795,-116.729559,17,48.6
3 mi SW of Harvard,ID,2241,46.88717,-116.75944,37,111
3 mi W of Crane Point,ID,2244,47.04348,-116.86864,37,75
3.4 mi NNW of Princeton,ID,2258,46.96535,-116.846617,17,38.8
30 Mile,WA,1716,48.2704,-118.694,1,0.2
4-H,OR,809,45.47843,-118.04543,37,45.6
4516,OR,1576,45.44651,-116.70577,2,0.2
4th_of_July_Spring,WA,1370,46.15333,-117.42083,12,6.2
5.7 km Old Hedley Road,BC,4044,49.398082890000005,-120.2124703,14,20.6
Abels_Jct.,WA,1508,46.25745,-117.57568,4,0.6
Abes Knob,ID,2222,46.84125,-116.39809,41,88.4
Adams Creek,ID,2010,44.53121,-117.028647,29,78.6
Addy,WA,891,48.29657,-117.83271,38,2.8
Adell,OR,1571,43.24734,-121.91395,3,1.8
Agency,OR,614,42.64194,-121.93333,37,15.2
Agua Chiquita,NM,509,32.710256,-105.656348,4,0
Agua Piedra CG,NM,582,36.133496,-105.529903,1,0
Ahtanum_Ridge,WA,1357,46.47149,-120.97473,6,5.2
Albert_Creek,MT,1,46.972669,-114.308112,27,42.6
Alder_Spr.,OR,1620,42.97143,-121.14423,1,3.2
Alder_Springs,OR,1647,45.69961,-117.38514,3,15.8
Aldrich,OR,137,44.33667,-119.34367,42,43
Alkali Lakes,BC,3018,51.030549,-121.542217,3,0
Alkali Lakes,BC,3033,51.030549,-121.542217,14,13.5
Alkali Lakes,BC,3034,51.030549,-121.542217,19,18
Alpha_Omega,CA,1252,39.315055,-120.752083,18,23.6
Alpha_Omega_2,CA,1255,39.315055,-120.752083,2,0.2
Alpha_Omega_3,CA,1258,39.315055,-120.752083,6,7.5
Alta_Lake,WA,954,48.01829,-119.94411,40,9.4
American River campground,ID,2403,45.90786,-115.450566,4,54.8
Anderson,OR,1028,44.2358,-118.2854,1,2.8
Anderson Creek,WA,1718,48.3799,-118.7506,1,0.6
Anderson Creek Divide,ID,2003,44.549557,-116.180733,3,11
Anderson_Creek,OR,1652,42.43616,-121.77062,2,2
Andy,WA,1664,46.65843,-121.25301,2,0.8
Angel Butte,ID,2132,46.57303,-116.06293,22,7.4
Ant Basin,ID,2389,45.114425,-116.437313,7,15.2
Ant Basin Creek,ID,2052,45.12721678,-116.4427977,13,11.6
Antelope,OR,219,44.05524,-118.42237,40,59.4
Antelope Flat,ID,2387,44.38813,-116.196896,9,65.2
Antelope Trail,ID,2073,44.389491,-116.202979,15,65.2
Antelope_Mtn.,OR,1689,43.10057,-121.29995,1,0
Antone_Creek,OR,404,44.9823,-118.1179,38,17
Apache_CG/Silver_Saddle_CG,NM,464,32.967457,-105.727483,17,0
Apache_Observatory,NM,494,32.786816,-105.810609,4,0
Arbs_Basin,UT,6403,41.52315363,-111.4749275,10,0.2
Arlee,MT,9,47.174842,-114.096709,22,14.2
Armstrong,WA,648,48.24172,-119.02872,40,25.4
Arnett Creek,ID,2016,45.207978,-113.903717,4,0.6
Ashley,CA,18,41.562471,-120.426468,36,32.2
Ashnola River,BC,4020,49.21595800000001,-119.9570916,13,46.7
Aspen_Valley,CA,1054,37.826847,-119.771289,7,76.2
Austin,OR,1616,44.55547,-118.50334,1,0.4
Axe,OR,1030,44.4551,-118.504,1,0
Aztec,AZ,32,33.812968,-110.905213,2,2.8
BCC-Adams_Mt,WA,1078,48.09909,-118.09712,8,0.6
BCC-Chkner,WA,1079,48.08429,-118.02886,9,9.6
BCC-Golden_Harv,WA,1072,48.59012,-118.77023,4,2.4
BCC-Lane_Mt,WA,1080,48.15784,-117.89844,9,2.4
BCC-Lotze_Creek,WA,1092,48.75702,-117.78916,1,0
BCC-Smiths,WA,1076,48.27351,-117.94291,9,0.8
BCC-Stensgar,WA,1077,48.21598,-118.02895,9,11.6
BCC-Swede_Pass,WA,1089,48.76606,-117.93907,1,0
Badge,OR,1696,43.90986,-119.20698,1,0
Badger,CA,803,40.570997,-121.438226,25,4
Badger_Cr_1,OR,1197,44.96109,-121.5524,17,51.6
Badger_Cr_2,OR,1198,44.96109,-121.5524,17,59.2
Badger_Mtn,WA,1244,47.59575,-120.13231,13,2.4
Bailey_Creek,CA,1441,40.478635,-121.593829,34,21.4
Bailey_Ridge_Stn,CA,107,38.410644,-120.168889,18,36.8
Baker_Butte,AZ,2,34.452258,-111.378428,15,7.4
Baker_Lake,WA,1150,48.20614,-117.27869,26,5.8
Bald,OR,1624,43.27474,-121.37785,1,0
Bald Mountain,ID,2198,47.03648648,-116.553025,36,53.8
Bald Mtn 1,ID,2135,46.577444,-115.852467,23,36
Bald Mtn Ski Area,ID,2385,43.680907,-114.400353,9,10.2
Bald_Mtn,OR,400,45.78076,-118.04579,33,2.4
Balloon_Tree,OR,1529,45.72529,-117.9838,4,1.6
Balm_Cr.,OR,490,44.97606,-117.53683,39,57.6
Balsam_Glade,NM,520,35.214111,-106.408148,15,33.8
Baltic_181-190,CA,544,38.694548,-120.515566,4,30
Baltic_191-200,CA,549,38.694548,-120.515566,4,11
Baltic_221-230,CA,540,38.694548,-120.515566,4,15.8
Baltic_231-240,CA,556,38.694548,-120.515566,4,18.25
Baltic_3Ut_311-220,CA,559,38.694548,-120.515566,10,29.8
Baltic_B_Lower_161-170,CA,532,38.694548,-120.515566,13,67.2
Baltic_C_Mid_5T_171-180,CA,536,38.694548,-120.515566,13,63.8
Baltic_D_Upper_4T_201-210,CA,552,38.694548,-120.515566,12,43
Banner Creek,ID,2094,44.001136,-115.538731,12,8
Banner Ridge,ID,2093,44.02994,-115.596624,12,39.2
Bargamin Cr,ID,2134,46.53795,-115.91787,22,35.6
Barinaga Corral,ID,2005,42.974062000000004,-116.542546,24,44.2
Barnaby_Cr.,WA,620,48.50013,-118.3204,31,8.8
Barnes Lake,BC,4006,50.67453256,-121.2521815,22,58
Barnes Lake,BC,4031,50.65437429,-121.2394331,14,9.8
Barnes_Creek,OR,361,44.86781,-118.95074,42,32
Barnes Lake Road,BC,4046,50.706175570000006,-121.2263741,6,11.233333333333333
Barrinaga Co 2,ID,2388,45.059906,-116.542052,7,1.2
Basalt Hill,ID,2291,46.84084,-116.78215,24,92.8
Battle Creek,BC,4005,50.80731351,-121.1263124,20,67.7
