manual_id,lat,lon,source,year,count,lat_coord,lon_coord
50001,39.016,-120.499,iNaturalist,2012,1,39,-120.5
50002,37.744,-119.8,iNaturalist,2013,1,37.75,-119.75
50003,39.083,-114.327,iNaturalist,2014,1,39,-114.25
50004,38.735,-104.841,iNaturalist,2016,1,38.75,-104.75
50005,32.429,-110.74,iNaturalist,2013,1,32.5,-110.75
50006,36.748,-118.971,iNaturalist,2012,1,36.75,-119
50007,36.448,-118.564,iNaturalist,2010,1,36.5,-118.5
50008,35.216,-106.416,iNaturalist,2016,1,35.25,-106.5
50009,35.216,-106.416,iNaturalist,2016,1,35.25,-106.5
50010,35.216,-106.416,iNaturalist,2016,1,35.25,-106.5
50011,34.416,-111.156,iNaturalist,2007,1,34.5,-111.25
50012,34.226,-117.128,iNaturalist,2016,1,34.25,-117.25
50013,35.729,-105.867,iNaturalist,2016,1,35.75,-105.75
50014,35.217,-106.416,iNaturalist,2017,1,35.25,-106.5
50015,35.208,-106.388,iNaturalist,2017,1,35.25,-106.5
50016,35.212,-106.387,iNaturalist,2017,1,35.25,-106.5
50017,35.813,-106.607,iNaturalist,2017,1,35.75,-106.5
50018,35.194,-106.405,iNaturalist,2017,1,35.25,-106.5
50019,49.252,-124.166,iNaturalist,2017,1,49.25,-124.25
50020,36.377,-105.026,iNaturalist,2017,1,36.5,-105
50021,39.81,-120.469,iNaturalist,2017,1,39.75,-120.5
50022,40.552,-111.697,iNaturalist,2016,1,40.5,-111.75
50023,35.73,-105.837,iNaturalist,2017,1,35.75,-105.75
50024,40.529,-121.562,iNaturalist,2017,1,40.5,-121.5
50025,36.606,-118.733,iNaturalist,2017,1,36.5,-118.75
50026,35.217,-106.416,iNaturalist,2017,1,35.25,-106.5
50027,35.741,-105.42,iNaturalist,2017,1,35.75,-105.5
50028,31.416,-110.277,iNaturalist,2008,1,31.5,-110.25
50029,44.338,-120.374,iNaturalist,2017,1,44.25,-120.25
50030,35.125,-106.461,iNaturalist,2017,1,35,-106.5
50031,35.849,-106.63,iNaturalist,2012,1,35.75,-106.75
50032,35.687,-105.949,iNaturalist,2018,1,35.75,-106
50033,47.91,-116.704,iNaturalist,2018,1,48,-116.75
50034,32.949,-105.748,iNaturalist,2018,1,33,-105.75
50035,32.949,-105.748,iNaturalist,2018,1,33,-105.75
50036,47.767,-114.124,iNaturalist,2018,1,47.75,-114
50037,32.963,-105.745,iNaturalist,2018,1,33,-105.75
50038,43.905,-115.688,iNaturalist,2018,1,44,-115.75
50039,47.877,-114.033,iNaturalist,2018,1,48,-114
50040,32.963,-105.745,iNaturalist,2018,1,33,-105.75
50041,36.206,-118.685,iNaturalist,2018,1,36.25,-118.75
50042,47.755,-114.18,iNaturalist,2018,1,47.75,-114.25
50043,35.974,-118.401,iNaturalist,2018,1,36,-118.5
50044,38.017,-104.996,iNaturalist,2018,1,38,-105
50045,32.419,-110.728,iNaturalist,2018,1,32.5,-110.75
50046,36.737,-118.966,iNaturalist,2018,1,36.75,-119
50047,36.609,-118.753,iNaturalist,2018,1,36.5,-118.75
50048,36.636,-118.813,iNaturalist,2018,1,36.75,-118.75
50049,34.163,-116.885,iNaturalist,2018,1,34.25,-117
50050,37.224,-119.234,iNaturalist,2018,1,37.25,-119.25
50051,42.48,-122.086,iNaturalist,2018,1,42.5,-122
50052,49.254,-123.237,iNaturalist,2018,1,49.25,-123.25
50053,34.27,-116.85,iNaturalist,2018,1,34.25,-116.75
50054,36.636,-118.814,iNaturalist,2018,1,36.75,-118.75
50055,36.565,-118.771,iNaturalist,2018,1,36.5,-118.75
50056,36.632,-118.815,iNaturalist,2018,1,36.75,-118.75
50057,46.788,-113.72,iNaturalist,2018,1,46.75,-113.75
50058,49.251,-123.247,iNaturalist,2018,1,49.25,-123.25
50059,34.21,-117.114,iNaturalist,2018,1,34.25,-117
50060,36.637,-118.809,iNaturalist,2018,1,36.75,-118.75
