manual_id,lat,lon,source,year,lat_coord,lon_coord
50067,32.949,-105.748,iNaturalist,2018,33,-105.75
50080,39.054,-120.123,iNaturalist,2012,39,-120
50147,36.737,-118.967,iNaturalist,2019,36.75,-119
50162,36.636,-118.808,iNaturalist,2019,36.75,-118.75
50172,44.928,-116.09,iNaturalist,2019,45,-116
50189,32.958,-105.737,iNaturalist,2020,33,-105.75
50265,46.705,-113.965,iNaturalist,2020,46.75,-114
50274,46.679,-114.041,iNaturalist,2020,46.75,-114
50280,36.583,-118.752,iNaturalist,2020,36.5,-118.75
50327,31.884,-109.207,iNaturalist,2010,32,-109.25
50351,32.949,-105.738,iNaturalist,2021,33,-105.75
50352,44.568,-123.396,iNaturalist,2021,44.5,-123.5
50390,46.701,-114.001,iNaturalist,2021,46.75,-114
50400,44,-123.084,iNaturalist,2021,44,-123
50410,38.781,-104.881,iNaturalist,2021,38.75,-105
50424,40.675,-111.603,iNaturalist,2021,40.75,-111.5
50430,40.039,-105.39,iNaturalist,2021,40,-105.5
50497,36.274,-115.671,iNaturalist,2022,36.25,-115.75
50542,39.735,-120.968,iNaturalist,2022,39.75,-121
50545,34.248,-117.228,iNaturalist,2022,34.25,-117.25
50651,40.402,-121.619,iNaturalist,2022,40.5,-121.5
50740,36.256,-115.645,iNaturalist,2023,36.25,-115.75
50752,38.752,-104.843,iNaturalist,2023,38.75,-104.75
50768,39.88,-121.198,iNaturalist,2023,40,-121.25
50793,36.256,-115.646,iNaturalist,2023,36.25,-115.75
50794,37.966,-104.997,iNaturalist,2023,38,-105
50816,36.527,-105.221,iNaturalist,2023,36.5,-105.25
50835,38.789,-104.904,iNaturalist,2023,38.75,-105
50848,40.191,-121.119,iNaturalist,2023,40.25,-121
50880,40.211,-121.163,iNaturalist,2023,40.25,-121.25
50903,39.468,-105.252,iNaturalist,2023,39.5,-105.25
50910,39.731,-105.248,iNaturalist,2023,39.75,-105.25
51045,35.668,-105.876,iNaturalist,2024,35.75,-106
51133,40.637,-111.482,iNaturalist,2024,40.75,-111.5
51141,39.709,-105.297,iNaturalist,2024,39.75,-105.25
51193,31.913,-109.268,iNaturalist,2024,32,-109.25
51194,39.397,-105.076,iNaturalist,2024,39.5,-105
51214,34.088,-116.884,iNaturalist,2024,34,-117
51334,39.568,-105.244,iNaturalist,2024,39.5,-105.25
51349,36.583,-118.734,iNaturalist,2019,36.5,-118.75
51397,40.963,-105.578,iNaturalist,2024,41,-105.5
51443,47.3,-120.711,Lab Collections,2019,47.25,-120.75
51479,35.2,-106.405,Lab Collections,2018,35.25,-106.5
40005,45.85280389892619,-117.777771670299,Defoliation surveys,1947,45.75,-117.75
