lat,lon,source,manual_id
30.993,-115.495,iNaturalist,50445
31.044,-115.464,iNaturalist,50381
31.406,-110.324,iNaturalist,50629
31.406,-110.292,iNaturalist,51394
31.406,-110.291,iNaturalist,51405
31.416,-110.277,iNaturalist,50028
31.428,-110.336,iNaturalist,50526
31.435,-110.321,iNaturalist,50966
31.439,-110.318,iNaturalist,50514
31.446,-110.314,iNaturalist,50962
31.884,-109.207,iNaturalist,50327
31.884,-109.207,iNaturalist,51270
31.90465,-109.15589,iNaturalist,51842
31.909,-109.252,iNaturalist,50328
31.909,-109.252,iNaturalist,50329
31.909,-109.252,iNaturalist,50330
31.913,-109.268,iNaturalist,51193
31.934,-109.273,iNaturalist,50615
32.408,-110.72,iNaturalist,51292
32.411,-110.707,iNaturalist,51281
32.414,-110.722,iNaturalist,50618
32.41563,-110.71723,iNaturalist,51742
32.41698,-110.74084,iNaturalist,51796
32.419,-110.728,iNaturalist,50045
32.429,-110.74,iNaturalist,50005
32.439,-110.757,iNaturalist,50350
32.439,-110.757,iNaturalist,50469
32.442,-110.791,iNaturalist,51268
32.447,-110.773,iNaturalist,50433
32.447,-110.771,iNaturalist,50368
32.631,-109.823,iNaturalist,50459
32.631,-109.823,iNaturalist,50460
32.64,-109.82,iNaturalist,50166
32.64,-109.82,iNaturalist,50167
32.64,-109.82,iNaturalist,50320
32.713,-109.958,iNaturalist,50250
32.726,-105.729,iNaturalist,50401
32.726,-105.728,iNaturalist,50398
32.8,-105.634,iNaturalist,50458
32.818,-105.772,iNaturalist,50240
32.83,-105.779,iNaturalist,50098
32.83,-105.739,iNaturalist,50666
32.831,-105.737,iNaturalist,50395
32.873,-105.714,iNaturalist,50297
32.88,-105.779,iNaturalist,50218
32.882,-105.656,iNaturalist,50307
32.888,-105.794,iNaturalist,51419
32.898,-105.677,iNaturalist,50461
32.902,-105.776,iNaturalist,50425
32.904,-105.684,iNaturalist,50232
32.90423,-105.68401,iNaturalist,51557
32.90752,-105.81346,iNaturalist,51850
32.925,-108.213,iNaturalist,50866
32.926,-105.735,iNaturalist,50332
32.933,-105.732,iNaturalist,50197
32.94,-105.738,iNaturalist,50119
32.941,-108.195,iNaturalist,50954
32.941,-105.736,iNaturalist,50202
32.94241,-105.74915,iNaturalist,51871
32.943,-105.746,iNaturalist,50392
32.94346,-105.74433,iNaturalist,51682
32.944,-105.746,iNaturalist,50376
32.944,-105.744,iNaturalist,50371
32.947,-105.748,iNaturalist,50131
32.948,-105.748,iNaturalist,50146
32.948,-105.748,iNaturalist,50184
32.948,-105.748,iNaturalist,50187
32.948,-105.748,iNaturalist,50221
32.949,-105.748,iNaturalist,50034
32.949,-105.748,iNaturalist,50035
32.949,-105.748,iNaturalist,50067
32.949,-105.748,iNaturalist,50106
32.949,-105.748,iNaturalist,50107
32.949,-105.748,iNaturalist,50173
32.949,-105.748,iNaturalist,50186
32.949,-105.748,iNaturalist,50204
32.949,-105.748,iNaturalist,50205
32.949,-105.748,iNaturalist,50215
32.949,-105.748,iNaturalist,50358
32.949,-105.747,iNaturalist,50183
32.949,-105.738,iNaturalist,50351
32.95,-105.738,iNaturalist,50193
32.95,-105.661,iNaturalist,50436
32.951,-105.747,iNaturalist,50073
32.95131,-105.74132,iNaturalist,51927
32.953,-105.74,iNaturalist,50660
32.953,-105.74,iNaturalist,50670
32.954,-105.782,iNaturalist,50099
32.954,-105.725,iNaturalist,50342
32.954,-105.662,iNaturalist,50200
32.954,-105.662,iNaturalist,50220
32.954,-105.661,iNaturalist,50191
32.955,-105.662,iNaturalist,50195
32.955,-105.662,iNaturalist,50209
32.955,-105.661,iNaturalist,50190
32.956,-105.748,iNaturalist,50081
32.956,-105.737,iNaturalist,50462
32.956,-105.736,iNaturalist,50373
32.957,-105.749,iNaturalist,50387
32.957,-105.742,iNaturalist,50263
32.957,-105.738,iNaturalist,50194
32.958,-105.753,iNaturalist,50100
32.958,-105.744,iNaturalist,50437
32.958,-105.737,iNaturalist,50189
32.959,-105.718,iNaturalist,50396
32.96,-105.652,iNaturalist,50211
32.962,-105.745,iNaturalist,50264
32.963,-105.745,iNaturalist,50037
32.963,-105.745,iNaturalist,50040
32.968,-105.742,iNaturalist,50118
32.968,-105.729,iNaturalist,50196
32.97,-105.757,iNaturalist,50117
32.97301,-105.72602,iNaturalist,51692
32.97334,-105.72634,iNaturalist,51690
33.02,-105.632,iNaturalist,50355
33.02,-105.632,iNaturalist,50466
33.056,-105.713,iNaturalist,50967
33.333,-105.679,iNaturalist,50440
33.37,-105.651,iNaturalist,50544
33.637,-109.329,iNaturalist,50561
33.65,-109.34,iNaturalist,50444
33.677,-116.576,iNaturalist,51279
33.768,-116.66,iNaturalist,51150
33.824,-110.939,iNaturalist,51075
33.94209,-109.49254,iNaturalist,51813
34.025,-107.132,iNaturalist,50646
34.06918,-109.55162,iNaturalist,51722
34.08096,-116.88698,iNaturalist,51841
34.084,-116.862,iNaturalist,51252
34.088,-116.884,iNaturalist,51160
34.088,-116.884,iNaturalist,51214
34.162,-116.906,iNaturalist,50947
34.163,-116.885,iNaturalist,50049
34.16448,-116.86082,iNaturalist,51750
34.16449,-116.86108,iNaturalist,51678
34.16462,-116.86075,iNaturalist,51744
34.175,-116.867,iNaturalist,51407
34.207,-117.104,iNaturalist,51174
34.21,-117.114,iNaturalist,50059
34.218,-116.841,iNaturalist,51070
34.218,-116.841,iNaturalist,51071
34.226,-117.128,iNaturalist,50012
34.228,-117.254,iNaturalist,50791
34.22829,-117.25428,iNaturalist,51778
34.23142,-117.26157,iNaturalist,51592
34.23496,-116.88274,iNaturalist,51669
34.235,-117.161,iNaturalist,51044
34.235,-116.883,iNaturalist,51053
34.23545,-117.21017,iNaturalist,51890
34.23577,-117.21013,iNaturalist,51736
34.23581,-117.2102,iNaturalist,51737
34.236,-117.211,iNaturalist,51323
34.236,-117.21091,iNaturalist,51784
34.23831,-117.2095,iNaturalist,51645
34.243,-116.889,iNaturalist,50717
34.246,-117.22,iNaturalist,50284
34.248,-117.228,iNaturalist,50545
34.248,-117.217,iNaturalist,51331
34.27,-116.85,iNaturalist,50053
34.276,-117.189,iNaturalist,51330
34.295,-117.278,iNaturalist,51178
34.369,-111.06,iNaturalist,51199
34.36962,-111.00003,iNaturalist,51868
34.416,-111.156,iNaturalist,50011
34.433,-110.989,iNaturalist,50980
34.44743,-111.15011,iNaturalist,51892
34.46184,-111.17502,iNaturalist,51674
34.61704,-106.41113,iNaturalist,51497
34.622,-106.414,iNaturalist,50672
34.623,-106.414,iNaturalist,50528
34.624,-106.421,iNaturalist,50565
34.624,-106.418,iNaturalist,50564
34.646,-106.39,iNaturalist,51076
34.647,-106.387,iNaturalist,51085
34.79073,-106.38198,iNaturalist,51782
34.79079,-106.38212,iNaturalist,51621
34.79084,-106.38207,iNaturalist,51637
34.79653,-106.37604,iNaturalist,51509
34.798,-106.265,iNaturalist,50935
35.0867,-106.3988,iNaturalist,51543
35.08716,-106.40051,iNaturalist,51526
35.088,-106.4,iNaturalist,50968
35.09102,-106.39246,iNaturalist,51688
35.09143,-106.39235,iNaturalist,51721
35.094,-106.394,iNaturalist,50201
35.113,-106.489,iNaturalist,50234
35.11752,-106.39548,iNaturalist,51572
35.125,-106.461,iNaturalist,50030
35.12598,-106.38599,iNaturalist,51552
35.12684,-106.3799,iNaturalist,51549
35.12862,-106.38394,iNaturalist,51547
35.15015,-106.2822,iNaturalist,51693
35.15048,-106.48465,iNaturalist,51749
35.15854,-106.50873,iNaturalist,51691
35.16385,-106.37778,iNaturalist,51683
35.16397,-106.31985,iNaturalist,51844
35.16588,-106.37898,iNaturalist,51545
35.1664,-106.35728,iNaturalist,51618
35.167,-106.382,iNaturalist,50493
35.16711,-106.39373,iNaturalist,51577
35.1673,-106.39299,iNaturalist,51513
35.16761,-106.38193,iNaturalist,51544
35.16776,-106.3952,iNaturalist,51506
35.168,-106.401,iNaturalist,51102
35.16892,-106.38154,iNaturalist,51588
35.169,-106.383,iNaturalist,50075
35.169,-106.367,iNaturalist,51345
35.16922,-106.38179,iNaturalist,51864
35.1695,-106.38458,iNaturalist,51640
35.16971,-106.38284,iNaturalist,51752
35.16975,-106.38458,iNaturalist,51531
35.16977,-106.38408,iNaturalist,51590
35.17,-106.384,iNaturalist,51274
35.17008,-106.38027,iNaturalist,51542
35.17017,-106.38517,iNaturalist,51657
35.172,-106.381,iNaturalist,51273
35.174,-106.384,iNaturalist,51084
35.17473,-106.39512,iNaturalist,51599
35.17484,-106.37969,iNaturalist,51630
35.175,-106.396,iNaturalist,51310
35.176,-106.377,iNaturalist,50077
35.177,-106.379,iNaturalist,51009
35.17902,-106.38997,iNaturalist,51538
35.186,-106.389,iNaturalist,50192
35.1864,-106.41423,iNaturalist,51595
35.18771,-106.37844,iNaturalist,51762
35.188,-106.411,iNaturalist,51289
35.189,-106.411,iNaturalist,50548
35.189,-106.411,iNaturalist,51183
35.19,-106.417,iNaturalist,50414
35.19075,-106.40944,iNaturalist,51600
35.191,-106.444,iNaturalist,51282
35.191,-106.443,iNaturalist,51283
35.191,-106.409,iNaturalist,51245
35.19115,-106.40886,iNaturalist,51702
35.19192,-106.41695,iNaturalist,51679
35.192,-106.405,iNaturalist,51263
35.19209,-106.40431,iNaturalist,51717
35.19237,-106.40449,iNaturalist,51504
35.19242,-106.40449,iNaturalist,51582
35.19255,-106.40815,iNaturalist,51701
35.19258,-106.40444,iNaturalist,51718
35.193,-106.444,iNaturalist,51284
35.193,-106.444,iNaturalist,51291
35.19357,-106.40491,iNaturalist,51663
35.19364,-106.40502,iNaturalist,51517
35.19364,-106.40467,iNaturalist,51653
35.194,-106.405,iNaturalist,50018
35.194,-106.405,iNaturalist,51000
35.194,-106.405,iNaturalist,51099
35.19402,-106.4048,iNaturalist,51617
35.19481,-106.40185,iNaturalist,51575
35.19546,-106.44276,iNaturalist,51505
35.19794,-106.4339,iNaturalist,51802
35.1981,-106.39863,iNaturalist,51633
35.19838,-106.39932,iNaturalist,51708
35.19852,-106.43562,iNaturalist,51766
35.19872,-106.43016,iNaturalist,51785
35.19884,-106.39968,iNaturalist,51646
35.2,-106.405,Lab Collections,51479
35.20035,-106.43453,iNaturalist,51803
35.20052,-106.4342,iNaturalist,51815
35.203360000000004,-106.43958,iNaturalist,51616
35.20357,-106.43409,iNaturalist,51706
35.204,-106.451,iNaturalist,50640
35.20449,-106.44067,iNaturalist,51765
35.206,-106.383,iNaturalist,50583
35.20617,-106.43862,iNaturalist,51659
35.20719,-106.44824,iNaturalist,51758
35.208,-106.388,iNaturalist,50015
35.21,-106.45,iNaturalist,50088
35.21,-106.435,iNaturalist,50499
35.212,-106.387,iNaturalist,50016
