id,left,top,right,bottom,row_index,col_index,_count,_sum,_mean
"1",-129.125,55.125,-128.875,54.875,"0","0",6858,260888.620981041,38.041502038647
"2",-129.125,54.875,-128.875,54.625,"1","0",6906,139806.554585347,20.2442158391757
"3",-129.125,54.625,-128.875,54.375,"2","0",6960,121871.82617245,17.5103198523635
"4",-129.125,54.375,-128.875,54.125,"3","0",7011,77875.6399492454,11.1076365638633
"5",-129.125,54.125,-128.875,53.875,"4","0",7007,51670.3258944745,7.37410102675532
"6",-129.125,53.875,-128.875,53.625,"5","0",5220,103457.738285841,19.819490093073
"7",-129.125,53.625,-128.875,53.375,"6","0",5309,90864.6714097878,17.1152140534541
"8",-129.125,53.375,-128.875,53.125,"7","0",5269,116305.207385816,22.0734878318117
"9",-129.125,53.125,-128.875,52.875,"8","0",6677,139480.778788477,20.8897377247981
"10",-129.125,52.875,-128.875,52.625,"9","0",6004,83394.6048602164,13.889840916092
"11",-129.125,52.625,-128.875,52.375,"10","0",2823,10146.2740812302,3.59414597280558
"12",-129.125,52.375,-128.875,52.125,"11","0",0,0,
"13",-129.125,52.125,-128.875,51.875,"12","0",0,0,
"14",-129.125,51.875,-128.875,51.625,"13","0",0,0,
"15",-129.125,51.625,-128.875,51.375,"14","0",0,0,
"16",-129.125,51.375,-128.875,51.125,"15","0",0,0,
"17",-129.125,51.125,-128.875,50.875,"16","0",0,0,
"18",-129.125,50.875,-128.875,50.625,"17","0",0,0,
"19",-129.125,50.625,-128.875,50.375,"18","0",0,0,
"20",-129.125,50.375,-128.875,50.125,"19","0",0,0,
"21",-129.125,50.125,-128.875,49.875,"20","0",0,0,
"22",-129.125,49.875,-128.875,49.625,"21","0",0,0,
"23",-129.125,49.625,-128.875,49.375,"22","0",0,0,
"24",-129.125,49.375,-128.875,49.125,"23","0",0,0,
"25",-129.125,49.125,-128.875,48.875,"24","0",0,0,
"26",-129.125,48.875,-128.875,48.625,"25","0",0,0,
"27",-129.125,48.625,-128.875,48.375,"26","0",0,0,
"28",-129.125,48.375,-128.875,48.125,"27","0",0,0,
"29",-129.125,48.125,-128.875,47.875,"28","0",0,0,
"30",-129.125,47.875,-128.875,47.625,"29","0",0,0,
"31",-129.125,47.625,-128.875,47.375,"30","0",0,0,
"32",-129.125,47.375,-128.875,47.125,"31","0",0,0,
"33",-128.875,55.125,-128.625,54.875,"0","1",6857,294073.597489423,42.8866264385916
"34",-128.875,54.875,-128.625,54.625,"1","1",6910,226390.159681858,32.7626859163325
"35",-128.875,54.625,-128.625,54.375,"2","1",6958,214009.071700742,30.7572681375024
"36",-128.875,54.375,-128.625,54.125,"3","1",7010,214587.255511541,30.6115913711186
"37",-128.875,54.125,-128.625,53.875,"4","1",6227,232450.856897781,37.3295096993386
"38",-128.875,53.875,-128.625,53.625,"5","1",4847,133254.024686981,27.4920620356883
"39",-128.875,53.625,-128.625,53.375,"6","1",5765,115300.126834714,20.0000220008177
"40",-128.875,53.375,-128.625,53.125,"7","1",6537,125478.084315488,19.1950564961738
"41",-128.875,53.125,-128.625,52.875,"8","1",6968,140045.498923942,20.0983781463752
"42",-128.875,52.875,-128.625,52.625,"9","1",6140,136254.548289955,22.1912945097646
"43",-128.875,52.625,-128.625,52.375,"10","1",3977,28929.1336859558,7.27410955140955
"44",-128.875,52.375,-128.625,52.125,"11","1",1104,1395.55889976211,1.26409320630626
"45",-128.875,52.125,-128.625,51.875,"12","1",0,0,
"46",-128.875,51.875,-128.625,51.625,"13","1",0,0,
"47",-128.875,51.625,-128.625,51.375,"14","1",0,0,
"48",-128.875,51.375,-128.625,51.125,"15","1",0,0,
"49",-128.875,51.125,-128.625,50.875,"16","1",0,0,
"50",-128.875,50.875,-128.625,50.625,"17","1",192,846.215870550834,4.40737432578559
"51",-128.875,50.625,-128.625,50.375,"18","1",0,0,
"52",-128.875,50.375,-128.625,50.125,"19","1",0,0,
"53",-128.875,50.125,-128.625,49.875,"20","1",0,0,
"54",-128.875,49.875,-128.625,49.625,"21","1",0,0,
"55",-128.875,49.625,-128.625,49.375,"22","1",0,0,
"56",-128.875,49.375,-128.625,49.125,"23","1",0,0,
"57",-128.875,49.125,-128.625,48.875,"24","1",0,0,
"58",-128.875,48.875,-128.625,48.625,"25","1",0,0,
"59",-128.875,48.625,-128.625,48.375,"26","1",0,0,
"60",-128.875,48.375,-128.625,48.125,"27","1",0,0,
"61",-128.875,48.125,-128.625,47.875,"28","1",0,0,
"62",-128.875,47.875,-128.625,47.625,"29","1",0,0,
"63",-128.875,47.625,-128.625,47.375,"30","1",0,0,
"64",-128.875,47.375,-128.625,47.125,"31","1",0,0,
"65",-128.625,55.125,-128.375,54.875,"0","2",6854,374664.969732807,54.6636956131905
"66",-128.625,54.875,-128.375,54.625,"1","2",6907,236022.379567862,34.1714752523327
"67",-128.625,54.625,-128.375,54.375,"2","2",6960,255115.108580432,36.6544696236253
"68",-128.625,54.375,-128.375,54.125,"3","2",7011,247838.567254885,35.3499596712145
"69",-128.625,54.125,-128.375,53.875,"4","2",7046,326560.44913826,46.346927212356
"70",-128.625,53.875,-128.375,53.625,"5","2",6877,178483.0075152,25.9536145870583
"71",-128.625,53.625,-128.375,53.375,"6","2",6427,83164.1803707534,12.9398133453794
"72",-128.625,53.375,-128.375,53.125,"7","2",6961,100549.677523097,14.4447173571465
"73",-128.625,53.125,-128.375,52.875,"8","2",6449,137870.043634992,21.3785150620239
"74",-128.625,52.875,-128.375,52.625,"9","2",5176,133860.023886532,25.8616738575216
"75",-128.625,52.625,-128.375,52.375,"10","2",4460,78075.8398489654,17.5057936881088
"76",-128.625,52.375,-128.375,52.125,"11","2",1670,3429.11606244091,2.05336291164126
"77",-128.625,52.125,-128.375,51.875,"12","2",478,1151.5373121025,2.40907387469143
"78",-128.625,51.875,-128.375,51.625,"13","2",0,0,
"79",-128.625,51.625,-128.375,51.375,"14","2",0,0,
"80",-128.625,51.375,-128.375,51.125,"15","2",0,0,
"81",-128.625,51.125,-128.375,50.875,"16","2",0,0,
"82",-128.625,50.875,-128.375,50.625,"17","2",395,2302.88224415854,5.8300816307811
"83",-128.625,50.625,-128.375,50.375,"18","2",0,0,
"84",-128.625,50.375,-128.375,50.125,"19","2",0,0,
"85",-128.625,50.125,-128.375,49.875,"20","2",0,0,
"86",-128.625,49.875,-128.375,49.625,"21","2",0,0,
"87",-128.625,49.625,-128.375,49.375,"22","2",0,0,
"88",-128.625,49.375,-128.375,49.125,"23","2",0,0,
"89",-128.625,49.125,-128.375,48.875,"24","2",0,0,
"90",-128.625,48.875,-128.375,48.625,"25","2",0,0,
"91",-128.625,48.625,-128.375,48.375,"26","2",0,0,
"92",-128.625,48.375,-128.375,48.125,"27","2",0,0,
"93",-128.625,48.125,-128.375,47.875,"28","2",0,0,
"94",-128.625,47.875,-128.375,47.625,"29","2",0,0,
"95",-128.625,47.625,-128.375,47.375,"30","2",0,0,
"96",-128.625,47.375,-128.375,47.125,"31","2",0,0,
"97",-128.375,55.125,-128.125,54.875,"0","3",6858,288421.417481555,42.0561996910987
"98",-128.375,54.875,-128.125,54.625,"1","3",6909,250542.111061005,36.2631511160812
"99",-128.375,54.625,-128.125,54.375,"2","3",6957,330769.310117312,47.5448196230146
"100",-128.375,54.375,-128.125,54.125,"3","3",7010,283506.944785535,40.4432160892347
"101",-128.375,54.125,-128.125,53.875,"4","3",7062,237532.641556456,33.6353216590847
"102",-128.375,53.875,-128.125,53.625,"5","3",7114,120877.86179003,16.9915464984579
"103",-128.375,53.625,-128.125,53.375,"6","3",6458,76548.1158722944,11.8532232691692
"104",-128.375,53.375,-128.125,53.125,"7","3",7217,46582.3087548972,6.45452525355372
"105",-128.375,53.125,-128.125,52.875,"8","3",7172,79476.3111055619,11.0814711524766
"106",-128.375,52.875,-128.125,52.625,"9","3",5755,142426.209184988,24.7482552884427
"107",-128.375,52.625,-128.125,52.375,"10","3",5517,124448.90233109,22.5573504315914
"108",-128.375,52.375,-128.125,52.125,"11","3",4799,20183.3319629254,4.20573702082213
"109",-128.375,52.125,-128.125,51.875,"12","3",3527,9178.53494085744,2.60236318141691
"110",-128.375,51.875,-128.125,51.625,"13","3",764,2686.28151468933,3.51607528100697
