id,left,top,right,bottom,row_index,col_index,_count,_sum,_mean
"1",-129.125,55.125,-128.875,54.875,"0","0",6858,6735.95557812229,0.98220407963288
"2",-129.125,54.875,-128.875,54.625,"1","0",6906,8269.62517492473,1.19745513682663
"3",-129.125,54.625,-128.875,54.375,"2","0",6960,10286.5087856948,1.47794666461133
"4",-129.125,54.375,-128.875,54.125,"3","0",7011,4941.05360206962,0.704757324500017
"5",-129.125,54.125,-128.875,53.875,"4","0",7007,5333.84426647425,0.761216535817646
"6",-129.125,53.875,-128.875,53.625,"5","0",5220,3841.18909359723,0.735859979616328
"7",-129.125,53.625,-128.875,53.375,"6","0",5309,205.086007714272,0.0386298752522644
"8",-129.125,53.375,-128.875,53.125,"7","0",5269,6.1175724864006,0.00116105000690845
"9",-129.125,53.125,-128.875,52.875,"8","0",6677,0,0
"10",-129.125,52.875,-128.875,52.625,"9","0",6004,0,0
"11",-129.125,52.625,-128.875,52.375,"10","0",2823,0,0
"12",-129.125,52.375,-128.875,52.125,"11","0",0,0,
"13",-129.125,52.125,-128.875,51.875,"12","0",0,0,
"14",-129.125,51.875,-128.875,51.625,"13","0",0,0,
"15",-129.125,51.625,-128.875,51.375,"14","0",0,0,
"16",-129.125,51.375,-128.875,51.125,"15","0",0,0,
"17",-129.125,51.125,-128.875,50.875,"16","0",0,0,
"18",-129.125,50.875,-128.875,50.625,"17","0",0,0,
"19",-129.125,50.625,-128.875,50.375,"18","0",0,0,
"20",-129.125,50.375,-128.875,50.125,"19","0",0,0,
"21",-129.125,50.125,-128.875,49.875,"20","0",0,0,
"22",-129.125,49.875,-128.875,49.625,"21","0",0,0,
"23",-129.125,49.625,-128.875,49.375,"22","0",0,0,
"24",-129.125,49.375,-128.875,49.125,"23","0",0,0,
"25",-129.125,49.125,-128.875,48.875,"24","0",0,0,
"26",-129.125,48.875,-128.875,48.625,"25","0",0,0,
"27",-129.125,48.625,-128.875,48.375,"26","0",0,0,
"28",-129.125,48.375,-128.875,48.125,"27","0",0,0,
"29",-129.125,48.125,-128.875,47.875,"28","0",0,0,
"30",-129.125,47.875,-128.875,47.625,"29","0",0,0,
"31",-129.125,47.625,-128.875,47.375,"30","0",0,0,
"32",-129.125,47.375,-128.875,47.125,"31","0",0,0,
"33",-128.875,55.125,-128.625,54.875,"0","1",6857,2870.3518971391,0.418601705868325
"34",-128.875,54.875,-128.625,54.625,"1","1",6910,25790.3376632743,3.73232093535083
"35",-128.875,54.625,-128.625,54.375,"2","1",6958,45612.5429455787,6.55541002379688
"36",-128.875,54.375,-128.625,54.125,"3","1",7010,30957.3112111781,4.41616422413382
"37",-128.875,54.125,-128.625,53.875,"4","1",6227,56838.141617246,9.12769256740741
"38",-128.875,53.875,-128.625,53.625,"5","1",4847,17684.4340496808,3.64853188563665
"39",-128.875,53.625,-128.625,53.375,"6","1",5765,1704.99058184028,0.295748583146622
"40",-128.875,53.375,-128.625,53.125,"7","1",6537,88.9390522837639,0.0136054845164087
"41",-128.875,53.125,-128.625,52.875,"8","1",6968,0.814276933670044,0.000116859491054828
"42",-128.875,52.875,-128.625,52.625,"9","1",6140,26.403018951416,0.00430016595299935
"43",-128.875,52.625,-128.625,52.375,"10","1",3977,0,0
