lat,lon,total_acres,pseu_acres,abies_acres
54,-128,38457.991223103076,207.44974518686274,38442.033550396416
51.75,-128,1817.7735597735577,0,1817.7735597735577
53.25,-127,57967.49362704352,905.990440565253,57935.70448877807
50.25,-117.75,93855.00954319882,52243.87657462779,48408.605420536944
50,-117.75,102416.29277230223,34735.32373009852,77127.35860500378
49.75,-117.75,73024.04792372351,19708.106511102782,57074.303726006714
49.5,-117.75,105383.56772585664,47366.01433021811,67924.88012461062
49.25,-117.75,98378.44240999629,77384.64678955835,27553.38983050842
54,-117.5,0,0,0
53,-127,42456.54199944914,2621.755026163593,41868.63329661249
53.75,-117.5,0,0,0
53.5,-117.5,79.60776102735878,79.60776102735878,0
53.25,-117.5,1319.4320354717995,79.48385755854173,1239.948177913258
53,-117.5,11297.712871287127,0,11297.712871287127
52.75,-117.5,12188.261403987955,0,12188.261403987955
52.5,-117.5,14481.668022782786,253.23135340385122,14260.090588554353
52.25,-117.5,11671.645269815635,931.8363611896112,11039.89180460234
52,-117.5,23698.266844919766,5001.564973262029,20605.816577540056
51.75,-117.5,55916.50517653302,25138.800637111723,37078.15582691794
51.5,-117.5,76930.15865067866,24039.69192251947,58912.18157860064
52.75,-127,67644.73249669748,12781.596763540263,63582.21598414796
51.25,-117.5,44739.25673907353,5368.710808688826,41631.05574456947
51,-117.5,33328.98739768744,9323.341561647392,25071.170585942607
50.75,-117.5,69786.4240547167,15099.528971480142,57237.38546909275
50.5,-117.5,72749.27632590315,10914.733666410455,65441.55764796306
50.25,-117.5,80613.72242717208,20589.85447144131,62533.305177458395
50,-117.5,78232.29049785188,37754.43340914833,44384.02476623708
49.75,-117.5,100708.99974902747,60304.232149579584,50890.43393148454
49.5,-117.5,112069.05319546536,76154.25426684933,47571.2205057929
49.25,-117.5,107517.31221383493,74974.29154807577,41827.76265313701
52.5,-127,51042.58230652085,5881.449813097054,49362.168074207424
54,-117.25,0,0,0
53.75,-117.25,15.939555805453637,0,15.939555805453637
53.5,-117.25,15.919330076760971,0,15.919330076760971
53.25,-117.25,0,0,0
53,-117.25,5571.050756533699,0,5571.050756533699
52.75,-117.25,4231.237197869724,0,4231.237197869724
52.5,-117.25,2895.940881355932,0,2895.940881355932
52.25,-127,70963.36729580753,13016.485050943762,65278.45665608822
52.25,-117.25,3997.454496499728,31.60043080236884,3981.654281098552
52,-117.25,21341.66720128305,6940.379577653038,15884.005078855871
51.75,-117.25,48330.876410460696,14603.23416965351,37256.36333466088
51.5,-117.25,69037.46712346813,37089.36118065624,37639.648438529475
51.25,-117.25,65765.95054298051,1867.8157791443184,65483.423786471256
51,-117.25,45864.572690658686,2021.3631284916141,45206.45446277774
50.75,-117.25,56564.556716995794,9701.251774422502,49210.38198477225
50.5,-117.25,79879.85073670725,28797.349903907765,58063.2033311979
50.25,-117.25,49066.511639740515,7902.389263452485,43517.693932069684
50,-117.25,91215.38622867978,30451.81010739104,68761.64990524322
52,-127,27635.329591018406,520.5284683239772,27556.46164127233
