lat,lon,land
31,-115.5,TRUE
31.5,-115.75,TRUE
31.5,-115.5,TRUE
31.5,-115.25,TRUE
31.5,-115,TRUE
31.5,-114.75,TRUE
31.5,-114.25,TRUE
31.5,-114,TRUE
31.5,-113.75,TRUE
31.5,-113.5,TRUE
31.5,-113.25,TRUE
31.5,-113,TRUE
31.5,-112.75,TRUE
31.5,-112.5,TRUE
31.5,-112.25,TRUE
31.5,-112,TRUE
31.5,-111.75,TRUE
31.5,-111.5,TRUE
31.5,-111.25,TRUE
31.5,-111,TRUE
31.5,-110.75,TRUE
31.5,-110.5,TRUE
31.5,-110.25,TRUE
31.5,-110,TRUE
31.5,-109.75,TRUE
31.5,-109.5,TRUE
31.5,-109.25,TRUE
31.5,-109,TRUE
31.5,-108.75,TRUE
31.5,-108.5,TRUE
31.5,-108.25,TRUE
31.5,-108,TRUE
31.5,-107.75,TRUE
31.5,-107.5,TRUE
31.5,-107.25,TRUE
31.5,-107,TRUE
31.5,-106.75,TRUE
31.5,-106.5,TRUE
31.5,-106.25,TRUE
31.5,-106,TRUE
31.5,-105.75,TRUE
31.5,-105.5,TRUE
31.5,-105.25,TRUE
31.5,-105,TRUE
31.5,-104.75,TRUE
31.5,-104.5,TRUE
31.5,-104.25,TRUE
31.5,-104,TRUE
31.75,-115.75,TRUE
31.75,-115.5,TRUE
31.75,-115.25,TRUE
31.75,-115,TRUE
31.75,-114.75,TRUE
31.75,-114.5,TRUE
31.75,-114.25,TRUE
31.75,-114,TRUE
31.75,-113.75,TRUE
31.75,-113.5,TRUE
31.75,-113.25,TRUE
31.75,-113,TRUE
31.75,-112.75,TRUE
31.75,-112.5,TRUE
31.75,-112.25,TRUE
31.75,-112,TRUE
31.75,-111.75,TRUE
31.75,-111.5,TRUE
31.75,-111.25,TRUE
31.75,-111,TRUE
31.75,-110.75,TRUE
31.75,-110.5,TRUE
31.75,-110.25,TRUE
31.75,-110,TRUE
31.75,-109.75,TRUE
31.75,-109.5,TRUE
31.75,-109.25,TRUE
31.75,-109,TRUE
31.75,-108.75,TRUE
31.75,-108.5,TRUE
31.75,-108.25,TRUE
31.75,-108,TRUE
31.75,-107.75,TRUE
31.75,-107.5,TRUE
31.75,-107.25,TRUE
31.75,-107,TRUE
31.75,-106.75,TRUE
31.75,-106.5,TRUE
31.75,-106.25,TRUE
31.75,-106,TRUE
31.75,-105.75,TRUE
31.75,-105.5,TRUE
31.75,-105.25,TRUE
31.75,-105,TRUE
31.75,-104.75,TRUE
31.75,-104.5,TRUE
31.75,-104.25,TRUE
31.75,-104,TRUE
32,-115.75,TRUE
32,-115.5,TRUE
32,-115.25,TRUE
32,-115,TRUE
32,-114.75,TRUE
32,-114.5,TRUE
32,-114.25,TRUE
32,-114,TRUE
32,-113.75,TRUE
32,-113.5,TRUE
32,-113.25,TRUE
32,-113,TRUE
32,-112.75,TRUE
32,-112.5,TRUE
32,-112.25,TRUE
32,-112,TRUE
32,-111.75,TRUE
32,-111.5,TRUE
32,-111.25,TRUE
32,-111,TRUE
32,-110.75,TRUE
32,-110.5,TRUE
32,-110.25,TRUE
32,-110,TRUE
32,-109.75,TRUE
32,-109.5,TRUE
32,-109.25,TRUE
32,-109,TRUE
32,-108.75,TRUE
32,-108.5,TRUE
32,-108.25,TRUE
32,-108,TRUE
32,-107.75,TRUE
32,-107.5,TRUE
32,-107.25,TRUE
32,-107,TRUE
32,-106.75,TRUE
32,-106.5,TRUE
32,-106.25,TRUE
32,-106,TRUE
32,-105.75,TRUE
32,-105.5,TRUE
32,-105.25,TRUE
32,-105,TRUE
32,-104.75,TRUE
32,-104.5,TRUE
32,-104.25,TRUE
32,-104,TRUE
32.25,-116.75,TRUE
32.25,-116.5,TRUE
32.25,-116.25,TRUE
32.25,-116,TRUE
32.25,-115.75,TRUE
32.25,-115.5,TRUE
32.25,-115.25,TRUE
32.25,-115,TRUE
32.25,-114.75,TRUE
32.25,-114.5,TRUE
32.25,-114.25,TRUE
32.25,-114,TRUE
32.25,-113.75,TRUE
32.25,-113.5,TRUE
32.25,-113.25,TRUE
32.25,-113,TRUE
32.25,-112.75,TRUE
32.25,-112.5,TRUE
32.25,-112.25,TRUE
32.25,-112,TRUE
32.25,-111.75,TRUE
32.25,-111.5,TRUE
32.25,-111.25,TRUE
32.25,-111,TRUE
32.25,-110.75,TRUE
32.25,-110.5,TRUE
32.25,-110.25,TRUE
32.25,-110,TRUE
32.25,-109.75,TRUE
32.25,-109.5,TRUE
32.25,-109.25,TRUE
32.25,-109,TRUE
32.25,-108.75,TRUE
32.25,-108.5,TRUE
32.25,-108.25,TRUE
32.25,-108,TRUE
32.25,-107.75,TRUE
32.25,-107.5,TRUE
32.25,-107.25,TRUE
32.25,-107,TRUE
32.25,-106.75,TRUE
32.25,-106.5,TRUE
32.25,-106.25,TRUE
32.25,-106,TRUE
32.25,-105.75,TRUE
