latitude,longitude,month,year,mean_rh
32,-104,March,1953,34.758904
32,-104,September,1969,51.304478
32,-104,April,1954,37.25815
32,-104,August,1954,47.178493
32,-104,July,1943,49.41598
32,-104,October,1973,49.87573
32,-104,March,2004,56.95904248387097
32,-104,October,1968,40.756966
32,-104,March,2017,35.373744096774196
32,-104,November,2001,56.495352233333335
32,-104,April,1964,19.172668
32,-104,November,1943,50.67433
32,-104,March,2006,38.47438277419355
32,-104,June,1978,42.868893
32,-104,December,1954,31.793705
32,-104,November,2005,38.17194056666666
32,-104,June,1969,33.227245
32,-104,December,1943,68.37035
32,-104,October,1969,58.467945
32,-104,October,1943,38.965424
32,-104,July,1969,36.11042
32,-104,December,1964,46.37326
32,-104,May,1978,38.05415
32,-104,April,2013,27.4659771
32,-104,September,2015,44.99604996666667
32,-104,October,1978,64.01101
32,-104,April,2012,26.345468066666665
32,-104,March,2009,30.868446193548387
32,-104,October,1988,48.207291193548386
32,-104,October,1993,42.08433277419355
32,-104,March,1978,39.707127
32,-104,February,2023,42.84031221428572
32,-104,June,2002,38.10962033333333
32,-104,July,1988,58.21742035483871
32,-104,August,1964,33.11369
32,-104,July,1953,35.056244
32,-104,August,1943,31.764025
32,-104,March,1943,38.335983
32,-104,May,2018,26.169327103225807
32,-104,October,2000,63.507603193548384
32,-104,May,1970,32.88754
32,-104,April,1962,31.659018
32,-104,November,1969,58.418537
32,-104,June,1963,40.567974
32,-104,May,1953,21.876707
32,-104,October,1997,45.97981538709678
32,-104,April,2006,29.3527034
32,-104,March,2002,32.41709124193548
32,-104,May,1943,44.190334
32,-104,October,1994,44.715195
32,-104,March,2003,38.370331387096776
32,-104,January,1978,55.434296
32,-104,July,1985,46.09211193548387
32,-104,April,1957,34.863953
32,-104,July,1978,39.65079
32,-104,April,2002,37.634767583333335
32,-104,April,2019,31.501918
32,-104,April,2017,33.8936845
32,-104,July,1980,30.473168806451618
32,-104,November,1995,43.8987157
32,-104,March,1962,33.35781
32,-104,October,1982,46.00676116129032
32,-104,February,2000,35.355282241379314
32,-104,June,1962,36.40482
32,-104,April,2018,26.6876604
32,-104,July,2022,33.152712967741934
32,-104,August,1940,59.154438
32,-104,November,2003,51.03006486666666
32,-104,October,1983,64.78496661290323
32,-104,June,2008,29.275703066666665
32,-104,January,1989,41.98962467741936
32,-104,November,2004,71.6073364
32,-104,February,2022,36.97129132142857
32,-104,July,1979,49.32762925806452
32,-104,October,1984,68.09175254838709
32,-104,April,1940,37.646843
32,-104,September,1973,53.59707
32,-104,February,1995,46.79038925
32,-104,March,2008,30.73540922580645
32,-104,May,1966,42.433666
32,-104,October,1991,45.40055106451613
32,-104,January,1990,41.60663880645161
32,-104,January,1962,48.23576
32,-104,August,1976,42.623436
32,-104,November,1992,47.95600303333333
32,-104,April,2022,20.774743483333335
32,-104,September,1968,44.044952
32,-104,March,2016,28.038546677419355
32,-104,March,2015,56.47642977419355
32,-104,April,2016,35.6948151
32,-104,May,1969,38.80002
32,-104,November,1944,56.596912
32,-104,August,2000,35.09100674193549
32,-104,January,1941,64.6053
32,-104,October,1989,36.948111258064515
32,-104,January,1981,65.76945206451613
32,-104,April,1978,21.900711
32,-104,April,2011,15.679194916666669
32,-104,January,1953,28.148758
32,-104,May,2008,26.595823983870968
32,-104,July,1982,40.88982912903226
32,-104,February,1972,33.076107
32,-104,July,1962,35.83445
32,-104,January,2023,43.92366016129032
32,-104,February,1996,33.301198896551725
32,-104,November,1994,45.9257381
32,-104,October,1999,37.77446548387097
32,-104,June,1947,31.66807
32,-104,July,2015,40.96090206451613
32,-104,December,1940,67.987854
32,-104,December,1946,53.761288
32,-104,April,1976,38.37415
32,-104,July,1986,50.01050141935484
32,-104,December,1972,42.914207
32,-104,September,1978,60.800167
32,-104,August,2001,45.935319
32,-104,March,1947,47.067276
32,-104,June,2000,52.44509226666667
32,-104,April,1972,23.796629
32,-104,June,1991,38.8567736
32,-104,September,2014,69.21495616666667
32,-104,January,1983,69.97260477419354
32,-104,November,1959,49.904804
32,-104,February,1999,32.40330994642857
32,-104,March,1959,26.487339
32,-104,May,2015,44.93171158064517
32,-104,August,1978,46.355934
32,-104,July,1981,48.625925903225806
32,-104,December,1998,57.52424929032258
32,-104,November,1998,57.3766249
32,-104,July,1984,44.01980270967742
32,-104,June,1983,41.601261466666664
32,-104,November,1993,45.039548133333334
32,-104,January,1980,55.32687822580645
32,-104,February,2001,51.94943778571429
32,-104,March,1966,31.131054
32,-104,November,1955,31.33988
32,-104,December,1947,53.78238
32,-104,January,1979,57.71931435483871
32,-104,June,1994,30.075916933333335
32,-104,June,1992,50.91886743333333
32,-104,October,1987,49.63321929032258
32,-104,August,1971,60.820217
32,-104,August,1980,49.23225416129032
32,-104,June,1999,48.21727773333333
32,-104,March,2005,41.721115193548385
32,-104,February,1978,61.402542
32,-104,March,1971,18.160824
32,-104,January,1984,63.2328775483871
32,-104,August,1962,26.902697
32,-104,January,1966,55.438858
32,-104,July,1940,46.48053
32,-104,September,2020,43.2060707
32,-104,December,1953,38.73164
32,-104,October,1992,42.98635416129032
32,-104,August,1972,60.86114
32,-104,May,1973,29.626907
32,-104,September,2017,43.546681766666666
32,-104,June,1964,31.758486
32,-104,August,2015,35.923915774193546
32,-104,March,2012,30.539519387096774
32,-104,November,1999,42.99476656666667
32,-104,September,1971,53.43078
32,-104,October,1985,67.64055161290322
32,-104,January,1982,46.66546370967742
32,-104,April,2014,25.61710001
32,-104,April,1979,35.9622327
32,-104,November,1966,45.17843
32,-104,March,2021,29.609593
32,-104,May,2019,37.115531806451614
32,-104,August,2019,34.2368495483871
32,-104,June,2001,28.4691624
32,-104,March,1944,33.86301
32,-104,March,1946,26.244884
32,-104,February,1966,45.16828
32,-104,March,2007,45.92594125806452
32,-104,April,1944,22.730537000000002
32,-104,July,2018,37.62247374193549
32,-104,October,1944,59.227146
32,-104,December,1996,34.88903383870968
32,-104,November,1964,44.24912
32,-104,July,1987,49.18362109677419
32,-104,February,1953,33.160522
32,-104,August,1997,49.04690693548387
32,-104,March,1973,42.571526
32,-104,November,1991,56.40963513333333
32,-104,October,1990,48.71714161290323
32,-104,July,2023,31.256560806451613
32,-104,June,1959,45.296978
32,-104,July,2017,41.14798083870968
32,-104,August,1944,46.335808
32,-104,April,2005,28.92041685
32,-104,April,2015,32.29860536666666
32,-104,February,2021,40.91949317857143
32,-104,April,2010,38.63811306666666
32,-104,May,2009,40.55674103225807
32,-104,September,2021,37.9177427
32,-104,March,2022,26.537790451612903
32,-104,December,1976,46.73039
32,-104,March,1940,36.97461
32,-104,April,2020,29.59271143333333
32,-104,March,2010,37.391784096774195
32,-104,February,1941,67.371155
32,-104,July,2019,37.548565
32,-104,May,1983,31.758801387096774
32,-104,February,2020,47.17923175862069
32,-104,June,1993,41.205557399999996
32,-104,April,1943,32.291763
32,-104,September,2023,36.945554466666664
32,-104,March,1954,23.35553
32,-104,May,1959,36.321835
32,-104,April,1999,29.925018833333333
32,-104,June,2003,45.432983
32,-104,October,1959,48.44876
32,-104,January,1988,52.90884170967742
32,-104,September,1946,63.960415
32,-104,January,1987,62.72792467741935
32,-104,November,1978,77.85608
32,-104,November,1951,37.91672
32,-104,September,2018,61.26303656666667
32,-104,May,2010,36.58129753225806
32,-104,June,1943,38.689274
32,-104,April,1948,24.02546
32,-104,August,1953,38.998035
32,-104,September,2016,60.87749796666667
32,-104,April,1958,36.623123
32,-104,December,1997,59.35425874193548
32,-104,November,1968,54.625572
32,-104,November,1973,39.143585
32,-104,July,1973,57.694653
32,-104,January,1985,61.288574548387096
32,-104,August,1946,35.896645
32,-104,May,2011,17.77790731612903
32,-104,September,1983,47.942134233333334
32,-104,June,1944,42.50635
32,-104,June,1980,38.436036566666665
32,-104,June,1982,45.3884976
32,-104,May,2007,62.572305870967746
32,-104,August,2022,50.67978429032258
32,-104,August,2011,31.502158612903223
32,-104,June,1979,48.7587827
32,-104,June,1990,28.59323265
32,-104,April,2023,25.925977293333332
32,-104,September,2022,54.99607676666667
32,-104,February,1973,61.741127
32,-104,February,1944,57.073254
32,-104,April,2003,21.2819649
32,-104,April,1966,37.123734
32,-104,May,1946,37.000397
32,-104,February,1946,41.623615
32,-104,August,1993,40.4011404516129
32,-104,November,1946,47.535053
32,-104,October,2021,34.885123516129035
32,-104,November,1971,49.954075
32,-104,September,1959,36.47565
32,-104,May,1992,57.336774806451615
32,-104,May,1944,34.983025
32,-104,May,1985,39.9169969516129
32,-104,April,1973,34.016846
32,-104,April,1946,30.430983
32,-104,August,2008,55.85243990322581
